#,Song,Artist,Genres,Album,Album Date
4,Street Lights,Kanye West,rap,808s & Heartbreak,2008-11-24
6,SUPERPOSITION,"Daniel Caesar, John Mayer",singer-songwriter,CASE STUDY 01,2019-06-28
10,Summer Time High Time,"Cuco, Kwe$t",bedroom pop,Chiquito,2018-05-04
14,The Less I Know The Better,Tame Impala,"neo-psychedelic, indie",Currents,2015-07-17
15,Resonance,Home,"vaporwave, synthwave, chillwave",Odyssey,2014-07-01
16,Beach Walk,Whitewoods ,vaporwave,Beach Walk,2015-12-03
17,Somber Waves,Whitewoods ,vaporwave,Play the Game,2016-04-01
18,Feel It All Around,Washed Out,"chillwave, dream pop",Life Of Leisure,2009-09-08
19,Marijuana,Chrome Sparks,chillwave,Sparks EP,2013-08-29
23,Amor de Siempre,Cuco,bedroom pop,wannabewithu,2016-07-09
24,Lover Is a Day,Cuco,bedroom pop,wannabewithu,2016-07-09
25,Dreams Tonite,Alvvays,"dream pop, shoegaze, jangle pop, indie",Antisocialites,2017-09-08
27,I Don't Need You,Acid Ghost,dream pop,I Don't Need You,2015-04-06
32,Dontmakemefallinlove,Cuco,bedroom pop,Chiquito,2018-05-04
33,Money,The Drums,indie,Portamento,2011-09-06
34,At The Door,The Strokes,"garage rock, alternative rock, indie rock",At The Door,2020-02-11
35,Girls just want to have fun,"Bladee, Ecco2k","cloud rap, hyperpop",Girls just want to have fun,2020-02-24
38,Realizations,Josh Lis,"synthwave, vaporwave, chillwave",Rear View,2017-06-29
39,Homage,Mild High Club,neo-psychedelic,Skiptracing,2016-08-26
40,Renee,SALES,bedroom pop,Renee,2013-06-23
41,Beachwalk - Zen Remix,Whitewoods,vaporwave,Beachwalk (Zen Remix),2017-01-07
42,Remorse,Scattle,synthwave,Visitors,2014-04-29
43,Warned You,Good Morning,"lo-fi indie, bedroom pop",Shawcross,2014-11-14
44,Feels Like We Only Go Backwards,Tame Impala,"neo-psychedelic, indie",Lonerism,2012-01-01
45,Space Song,Beach House,dream pop,Depression Cherry,2015-08-28
48,Nightcall,Kavinsky,"synthwave, french house",Nightcall,2010-01-01
49,Chamber Of Reflection,Mac DeMarco,"indie, lo-fi indie",Salad Days,2014-04-01
50,Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas","french house, electronic, electro",Random Access Memories,2013-05-20
57,Halcyon Age,Vansire,bedroom pop,Angel Youth,2018-04-26
58,First Aid,Gus Dapperton,bedroom pop,Orca,2020-09-18
59,"Prune, You Talk Funny",Gus Dapperton,bedroom pop,"Prune, You Talk Funny",2017-12-05
60,Grim,Gus Dapperton,bedroom pop,Orca,2020-09-18
61,Black Lipstick,Chicano Batman,"latin indie, latin alternative",Black Lipstick,2015-08-20
64,Lilly,Toro y Moi,chillwave,What For?,2015-04-07
65,HIT EM WHERE IT HURTS,PawPaw Rod,indie r&b,HIT EM WHERE IT HURTS,2020-09-18
66,Mrs Magic,Strawberry Guy,bedroom pop,Mrs Magic,2019-07-22
67,Ditch,Gus Dapperton,bedroom pop,Ditch,2016-06-03
69,Night Ride,The Growlers,surf rock,City Club,2016-09-30
71,Oh No!,"Rejjie Snow, Dana Williams",jazz rap,Dear Annie,2018-05-03
72,Day & Night,"Dabeull, HolyBrune","funk, nu disco",Intimate Fonk,2019-06-18
73,50//50,"Vantage, Absofacto","vaporwave, city pop",Socadona - Summer Virals,2022-03-11
74,Тоска,Molchat Doma,"post-punk, darkwave, cold wave, gothic rock",Этажи,2018-09-07
75,Клетка,Molchat Doma,"post-punk, darkwave, cold wave, gothic rock",Этажи,2018-09-07
76,Brokendate,Com Truise,"synthwave, chillwave, vaporwave",Galactic Melt,2011-06-14
80,White Night,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",The Future Sugar,2015-09-24
81,Change Of Coast,Neon Indian,"chillwave, indie electronic","The Music of Grand Theft Auto V, Vol. 1: Original Music",2013-09-24
82,Polish Girl,Neon Indian,"chillwave, indie electronic",Era Extraña,2011-09-13
83,Falso Realismo,Jambu,nova mpb,Falso Realismo,2021-04-23
84,Ciudades de Noche,Rubytates,"mexican indie, latin indie, latin alternative",Ciudades de Noche,2018-02-09
85,Señorita,LAWALL,"mexican indie, latin indie, latin alternative","La Playa de los 90, Vol 1",2015-04-29
86,Delirio,"Los Makenzy, Superlitio, Pipe Bravo","latin indie, latin rock, latin alternative, rock en español, colombian pop",Monstruos y Animales,2019-04-26
87,Viento de Noviembre,Dúo Niágara,latin indie,Duo Niágara,2015-01-01
88,"Call It Fate, Call It Karma",The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
89,At The Door,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
90,Chances,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
91,80's Comedown Machine,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
92,Call me,90sFlav,"lo-fi, lo-fi beats",Collection,2018-02-09
93,Myth,Beach House,dream pop,Bloom,2012-05-15
94,The Perfect Girl - The Motion Retrowave Remix,"Mareux, The Motion","darkwave, cold wave, synthwave",The Perfect Girl (The Motion Retrowave Remix),2022-05-16
95,屍を越えてゆけ,AAAMYYY,"japanese indie, j-r&b",BODY,2019-02-06
