#,Song,Artist,Genres,Album,Album Date
1,The Perfect Girl,Mareux,"darkwave, cold wave",The Perfect Girl,2019-10-13
2,Dark Angel,Provoker,"darkwave, lo-fi indie, post-punk, cold wave",Dark Angel,2018-05-14
4,Capital Pains,Tempers,"darkwave, cold wave, post-punk",Private Life,2019-10-25
6,Gallowdance,Lebanon Hanover,"darkwave, cold wave, post-punk, gothic rock, deathrock",Tomb for Two,2013-10-10
7,"Dead, Again",Jadu Heart,indie soul,Hyper Romance,2020-09-25
8,Lust,Boy Harsher,"darkwave, cold wave, post-punk, ebm, gothic rock, deathrock, synthpop",Lesser Man EP,2014-01-01
10,Midnight,Johnny Goth,bedroom pop,Midnight,2021-07-13
11,Perdidos,Twin Tribes,"darkwave, post-punk, cold wave, gothic rock, deathrock",Ceremony,2019-12-13
12,Summertime,Mareux,"darkwave, cold wave",Predestiny,2020-04-17
13,Spectral Tease,Mareux,"darkwave, cold wave",Spectral Tease,2020-02-14
16,Dark Beach,Pastel Ghost,"witch house, darkwave",Abyss,2015-03-10
18,Can't Get You Out of My Head,Johnny Goth,bedroom pop,The Great Awakening,2020-10-30
19,Connections,Blind Seagull,"post-punk, cold wave, darkwave, gothic rock, deathrock",Pressure,2018-02-18
20,Distance,Rendez Vous,"darkwave, post-punk, cold wave, gothic rock, deathrock",Distance,2016-03-04
21,The Unknown,peach tinted,lo-fi indie,Cinematic Youth,2020-07-27
22,Thin Flesh,TRAITRS,"darkwave, post-punk, cold wave, gothic rock, deathrock",Butcher's Coin,2018-05-18
23,Yung and Writhing,Rew,shoegaze,Rew,2017-05-25
25,Body Vehicle,Provoker,"darkwave, lo-fi indie, post-punk, cold wave",Dark Angel,2018-06-15
26,I'm Having Sex Tonight,GRLwood,"riot grrrl, queercore",I Sold My Soul to the Devil When I Was 12,2019-08-02
27,Cold Summer,Mareux,"darkwave, cold wave",Cold Summer,2019-10-13
28,Phantom,Vestron Vulture,"darkwave, post-punk, cold wave, synthwave, witch house",Shades of Violet,2017-01-01
30,Deleteme,Rew,shoegaze,Rew,2017-05-25
32,Arp-87,bloody/bath,"lo-fi indie, post-punk, cold wave, darkwave",Arp-87,2020-07-16
33,Our Parents Used To Dance On This,Abr.,"hard techno, tekno",1 to 50,2016-07-09
35,Scorpio,Mareux,"darkwave, cold wave",Scorpio,2019-08-22
36,Transgender,Crystal Castles,"witch house, electroclash, new rave, alternative dance",(III),2012-01-01
37,Goth,Sidewalks and Skeletons,"witch house, darkwave",White Light,2015-03-05
38,Unbleached,TR/ST,"darkwave, cold wave, witch house, synthpop, post-punk, ebm, electroclash",The Destroyer - 1,2019-04-19
40,Whirl,Soft Kill,"darkwave, cold wave, post-punk, deathrock, gothic rock",Choke,2016-11-04
41,The Style Is Death,Forever Grey,"darkwave, cold wave, post-punk, gothic rock, deathrock",Alabaster Chamber,2016-07-13
42,Kasvetli Kutlama,She Past Away,"darkwave, cold wave, post-punk, gothic rock, deathrock, ebm",Kasvetli Kutlama,2010-04-03
43,Always Then,The KVB,"cold wave, darkwave, post-punk, gothic rock, shoegaze",Always Then,2012-01-30
44,Hell Hotline,Tempers,"darkwave, cold wave, post-punk",Services,2015-10-23
45,Iris,TR/ST,"darkwave, cold wave, witch house, synthpop, post-punk, ebm, electroclash",The Destroyer - 2,2019-11-01
46,Black Cathedral,This Cold Night,"darkwave, cold wave, post-punk, gothic rock, deathrock",While I Disappear,2016-01-02
47,Daydreams,Tempers,"darkwave, cold wave, post-punk",Private Life,2019-10-25
48,Biessensoŭnasć,Nürnberg,"post-punk, cold wave, darkwave, gothic rock",Skryvaj,2018-11-05
49,"Caught In Time, So Far Away",You'll Never Get to Heaven,"dream pop, shoegaze",Adorn,2014-08-04
50,Roses,Mareux,"darkwave, cold wave",Predestiny,2020-04-17
51,Inamorata,Mareux,"darkwave, cold wave",Inamorata,2018-10-18
52,Neglect,Mr.Kitty,"witch house, darkwave",Time,2014-08-08
54,Heatdeath,Suave Punk,"lo-fi indie, bedroom pop",HeatDeath,2021-07-07
