#,Song,Artist,Genres,Album,Album Date
1,"Sea, Swallow Me","Cocteau Twins, Harold Budd","dream pop, shoegaze, gothic rock, ambient, minimalism, drone",The Moon and the Melodies,1986-11-10
2,Cuervos,Porter,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock",Atemahawke,2007-05-05
3,Host of a Ghost,Porter,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock",Atemahawke,2007-05-05
