#,Song,Artist,Genres,Album,Album Date
1,クロノスタシス,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
2,東京,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
3,You outside my window,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
4,ヴァージン・スーサイド,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
5,Unknown Planet,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
6,あるゆえ,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
7,24,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
8,フェイクワールドワンダーランド,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
9,ラストデイ,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
10,疾走,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
11,Telepathy/Overdrive,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",フェイクワールドワンダーランド,2014-10-29
12,WHY,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
13,&,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
14,ラプス,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
15,Thanatos,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
16,傘,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
17,ヒーローにはなれないけど,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
18,金木犀の夜,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
19,中央線,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
20,Humming,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
21,LIKE OUR LIFE,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
22,タイトロープ,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
23,カノン,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
24,夢みる頃を過ぎても,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",タイム・ラプス,2018-09-12
25,ロンググッドバイ,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",ロンググッドバイ,2013-12-04
26,海と花束,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",ロンググッドバイ,2013-12-04
27,パラノイドパレード,Kinokoteikoku,"japanese indie, shoegaze, j-rock, math rock, dream pop",ロンググッドバイ,2013-12-04
