#,Song,Artist,Genres,Album,Album Date
1,Artemísia,Carne Doce,nova mpb,Princesa,2016-08-24
2,Doce,Boogarins,"neo-psychedelic, nova mpb, psychedelic rock",As Plantas Que Curam,2013-01-01
3,Solidão de Volta,Terno Rei,"nova mpb, brazilian rock",Violeta,2019-02-01
4,Astronauta,Dolores 602,nova mpb,Cartografia,2018-03-02
5,Amor Verdade,Maria Beraldo,nova mpb,Cavala,2018-05-30
6,Estava Ali,Terno Rei,"nova mpb, brazilian rock",Violeta,2019-02-01
7,São Paulo,Terno Rei,"nova mpb, brazilian rock",Violeta,2019-02-01
8,Foimal,Boogarins,"neo-psychedelic, nova mpb, psychedelic rock",Lá Vem a Morte,2017-06-09
9,Yoko,Terno Rei,"nova mpb, brazilian rock",Violeta,2019-02-01
10,Dia Lindo,Terno Rei,"nova mpb, brazilian rock",Violeta,2019-02-01
11,San Lorenzo,Boogarins,"neo-psychedelic, nova mpb, psychedelic rock",Manual,2015-10-30
12,Onda Negra,Boogarins,"neo-psychedelic, nova mpb, psychedelic rock",Lá Vem a Morte,2017-06-09
13,Janeiro,Não ao Futebol Moderno,shoegaze,Vida Que Segue,2016-08-10
14,Leve,PLUMA,nova mpb,Leve,2020-08-21
16,Saia,Não ao Futebol Moderno,shoegaze,Vida Que Segue,2016-08-10
17,Dias da Juventude,Terno Rei,"nova mpb, brazilian rock",Dias da Juventude,2022-01-18
18,Difícil,Terno Rei,"nova mpb, brazilian rock",Difícil,2022-02-15
19,Chocolate,Ana Frango Elétrico,"nova mpb, mpb",Little Electric Chicken Heart,2019-09-12
20,Pinamar,Daniela Spalla,"latin indie, mexican indie, latin alternative",Camas Separadas,2018-09-21
21,Luminosidad,Delfina Campos,latin indie,Luminosidad,2019-06-21
22,Feliz,Elis Paprika,"mexican indie, mexican rock, latin indie",Maldito,2016-07-29
26,balada para el fin del mundo,Delfina Campos,latin indie,PELÍCULAS PERDIDAS,2024-08-02
