#,Song,Artist,Genres,Album,Album Date
1,Paint Me Silver,Pond,"neo-psychedelic, psychedelic rock",The Weather,2017-05-05
2,Talking Distance,Sunbeam Sound Machine,neo-psychedelic,Goodness Gracious,2019-05-03
3,In the Yard,Jons,neo-psychedelic,At Work on Several Things,2016-11-04
4,fell asleep with a vision,SPIRIT OF THE BEEHIVE,"shoegaze, slowcore, neo-psychedelic",Hypnic Jerks,2018-09-14
5,Forever End,The Holydrug Couple,"neo-psychedelic, psychedelic rock, space rock",Hyper Super Mega,2018-09-14
6,The Less I Know The Better,Tame Impala,"neo-psychedelic, indie",Currents,2015-07-17
7,Somebody New,Swim Mountain,neo-psychedelic,If (Deluxe Edition),2021-10-08
8,Spitting Off the Edge of the World,"Yeah Yeah Yeahs, Perfume Genius",art pop,Spitting Off the Edge of the World,2022-06-01
13,Ya Ni Sé,Los Animales También Se Suicidan,"latin indie, mexican indie",Balneario,2019-04-12
14,Ballenas de Ruido,Da Pawn,"latin indie, latin alternative",Verano en Coma,2017-09-20
15,Natsuko,Los Plastics Revolution,"mexican indie, latin indie, latin alternative",Natsuko,2014-01-15
16,Hay Más,60 Tigres,"mexican indie, latin indie, latin alternative, mexican rock",Frenesí,2015-04-02
17,Kilimanjaro,Tripulación de Osos,latin indie,Kilimanjaro,2020-03-27
19,Bubblegum Dog,MGMT,indie,Bubblegum Dog,2023-11-29
21,Kids,MGMT,indie,Oracular Spectacular,2007-12-14
22,Indie Rokkers,MGMT,indie,Time to Pretend,2005-08-30
