#,Song,Artist,Genres,Album,Album Date
1,Visita,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Daltónico,2010-01-01
2,Cobarde,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Daltónico,2010-01-01
3,Es por Ti,Los Romanticos de Zacatecas,"mexican indie, latin indie, mexican rock, latin alternative, rock en español",Ya Lo Dijo Rufis Taylor,2012-03-16
4,Dulce Soledad,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Daltónico,2010-01-01
5,Nadie T.V.,Los Plastics Revolution,"mexican indie, latin indie, latin alternative",Nadie T.V.,2019-08-23
6,Adolescentes,Los Plastics Revolution,"mexican indie, latin indie, latin alternative",Super Seres de Mundos Extraordinarios,2019-03-01
7,Otra Era,Los Plastics Revolution,"mexican indie, latin indie, latin alternative",Super Seres de Mundos Extraordinarios,2019-03-01
9,Vowels (And the Importance of Being Me),HUNNY,indie pop,Vowels (And the Importance of Being Me),2016-04-22
13,Give Me a Try,The Wombats,indie,Glitterbug (Deluxe Edition),2015-04-14
14,A-Punk,Vampire Weekend,"indie, baroque pop",Vampire Weekend,2008-01-29
15,Junk Of The Heart (Happy),The Kooks,"indie, indie rock",Junk Of The Heart,2011-01-01
16,Changing Of The Seasons,Two Door Cinema Club,indie,Changing Of The Seasons,2013-01-01
17,Pink Lemonade,The Wombats,indie,Glitterbug (Deluxe Edition),2015-04-14
18,What You Know,Two Door Cinema Club,indie,Tourist History,2010-02-07
20,Pachuca Sunrise,Minus the Bear,"math rock, post-hardcore",Menos El Oso,2005-08-23
22,Greek Tragedy,The Wombats,indie,Glitterbug (Deluxe Edition),2015-04-14
29,Televised,HUNNY,indie pop,Windows I,2017-05-26
30,"Lula, I'm Not Mad",HUNNY,indie pop,"Lula, I'm Not Mad",2019-04-23
33,Running,"Luna Luna, Pretty Boy Aaron",latin indie,Carousel,2019-10-04
34,I Don't Need You,Acid Ghost,dream pop,I Don't Need You,2015-04-06
35,Diane Young,Vampire Weekend,"indie, baroque pop",Modern Vampires of the City,2013-05-27
38,Money,The Drums,indie,Portamento,2011-09-06
39,Agoraphobia,Deerhunter,"neo-psychedelic, dream pop, shoegaze, noise rock",Microcastle,2008-10-31
43,Bär mig,Solen,swedish pop,Solen,2012-01-01
44,This Charming Man - 2011 Remaster,The Smiths,"new wave, madchester, jangle pop",The Smiths,1984-02-20
47,Something Good Can Work,Two Door Cinema Club,indie,Tourist History,2010-02-17
48,These Days,Wallows,indie,Spring EP,2018-04-06
51,Distant Crush,Teenage Priest,"bedroom pop, lo-fi indie",Distant Crush,2019-11-01
52,Rare Hearts,The Growlers,surf rock,Chinese Fountain,2014-09-23
53,Cosmic Realignment,Subsonic Eye,"shoegaze, dream pop",Strawberry Feels,2017-04-21
54,Catflap,Sobs,bedroom pop,Catflap,2017-06-23
55,Fender,Sobs,bedroom pop,Catflap,2017-06-23
56,If You Wanna,The Vaccines,indie,What Did You Expect from The Vaccines?,2011-03-14
59,Love Will Tear Us Apart - 2020 Remaster,Joy Division,"post-punk, new wave, gothic rock, darkwave, madchester, cold wave",Love Will Tear Us Apart,1980-06-01
60,Ninjas,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",Ninjas,2017-03-10
61,Suedehead - 2011 Remaster,Morrissey,"britpop, madchester, new wave, jangle pop",Viva Hate (2014 Remaster),1988-03-15
63,Lentes Negros,Primavera Club,"mexican indie, latin indie, latin alternative",Dorama,2020-01-10
64,Me Estás Rompiendo el Corazón,Pequeño Fénix,"mexican indie, latin indie, latin alternative, mexican rock",Neurosis & Rock N´roll,2020-04-13
65,Morena,Noah Pino Palo,"latin indie, mexican indie, latin alternative",Morena,2019-06-21
66,Alexander,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",The Future Sugar,2015-07-17
67,Anne solo,"Clément Froissart, Concorde",french indie pop,Anne solo,2023-01-12
70,Costa,Ultra P,"mexican indie, latin indie",Costa,2017-01-01
73,Little Girl,Death From Above 1979,garage rock,"You're A Woman, I'm A Machine",2004-09-28
74,Woman,Wolfmother,stoner rock,Wolfmother,2006-01-01
