#,Song,Artist,Genres,Album,Album Date
3,99 Luftballons,Nena,"neue deutsche welle, schlager, german pop",99 Luftballons,1984-08-21
5,Teardrop,"Massive Attack, Elizabeth Fraser","trip hop, downtempo",Mezzanine,1998-01-01
6,Are You With Me - Radio Edit,Lost Frequencies,tropical house,Are You With Me (Radio Edit),2015-01-26
7,Reality (feat. Janieck Devy) - Radio Edit,"Lost Frequencies, Janieck Devy",tropical house,Less Is More,2016-10-21
13,We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",alternative r&b,Some Nights,2012-02-21
14,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",edm,Don't You Worry Child,2012-09-14
17,Califórnica,La Gusana Ciega,"rock en español, mexican rock, latin alternative, mexican indie, latin rock",Monarca,2014-07-01
18,San Miguel,La Gusana Ciega,"rock en español, mexican rock, latin alternative, mexican indie, latin rock",Monarca,2014-07-01
20,Sí,Bunbury,"rock en español, latin rock, mexican rock",Flamingos,2002-02-28
26,Ya Ni Sé,Los Animales También Se Suicidan,"latin indie, mexican indie",Balneario,2019-04-12
27,Fuera de Lugar,"Little Jesus, Girl Ultra","mexican indie, latin indie, latin alternative, latin r&b",Disco de Oro,2019-05-24
28,Miss The Rage (feat. Playboi Carti),"Trippie Redd, Playboi Carti","melodic rap, rage rap",Miss The Rage (feat. Playboi Carti),2021-05-07
29,At The Door,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
31,Cat's in the Cradle,Harry Chapin,singer-songwriter,Verities & Balderdash,1974-01-01
32,Baila Mi Corazón,Belanova,latin pop,Fantasía Pop,2007-01-01
33,Shabadabada,OV7,"latin pop, retro pop",Lo Mejor De OV7,2007-06-29
34,Don,Miranda!,latin pop,El Templo del Pop,2008-04-01
35,Ella es Bonita,Natalia Lafourcade,"latin folk, bolero, latin indie, latin alternative, latin folklore",HU HU HU,2009-01-01
37,Starlight,Muse,"alternative rock, rock",Black Holes and Revelations,2006-06-28
38,"Dead, Again",Jadu Heart,indie soul,Hyper Romance,2020-09-25
39,Isolator,House of Harm,"darkwave, cold wave, post-punk, gothic rock, deathrock",Vicious Pastimes,2020-09-04
40,Thin Flesh,TRAITRS,"darkwave, post-punk, cold wave, gothic rock, deathrock",Butcher's Coin,2018-05-18
41,Iris,TR/ST,"darkwave, cold wave, witch house, synthpop, post-punk, ebm, electroclash",The Destroyer - 2,2019-11-01
43,Running Up That Hill,Placebo,britpop,Covers,2003-03-24
