#,Song,Artist,Genres,Album,Album Date
1,Slow Ride - Edit,Foghat,"classic rock, southern rock",Slow Ride / Save Your Loving (For Me),1975-01-01
2,Talk Dirty To Me,Poison,"glam metal, glam rock",Look What The Cat Dragged In,1986-01-01
3,Hit Me With Your Best Shot - 1999 Digital Remaster,Pat Benatar,aor,Synchronistic Wanderings,1999-09-23
4,Story of My Life,Social Distortion,"punk, skate punk, ska punk, psychobilly",Social Distortion,1990-03-27
5,Sabotage - 2009 Digital Remaster,Beastie Boys,"rap rock, old school hip hop, east coast hip hop, hip hop",Ill Communication (Deluxe Version) [Remastered],1994-05-23
6,Mississippi Queen,Mountain,"classic rock, southern rock, blues rock",Drivin' South: Southern Rockin' Smash Hits,2001-07-16
7,School's Out - Single Version,Alice Cooper,"glam rock, hard rock, glam metal, proto-punk, classic rock",Another Shot of Old Skool of Rock,2009-01-01
8,Sunshine Of Your Love,Cream,"classic rock, psychedelic rock, acid rock, blues rock",Gold,2005-04-26
9,Barracuda,Heart,"classic rock, aor, rock",Shaun White Snowboarding: Official Soundtrack,2008-11-18
10,Reptilia,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
11,When You Were Young,The Killers,alternative rock,Sam's Town,2006-10-03
12,Miss Murder,AFI,"punk, horror punk, emo, skate punk",Guitar Hero III Legends of Rock Companion Pack,2007-01-01
13,The Seeker - Edit,The Who,"classic rock, rock",The Who - Ultimate Collection,2002-06-11
14,"Paint It, Black",The Rolling Stones,"classic rock, rock",GRRR! (Deluxe Version),2012-01-01
15,Paranoid,Black Sabbath,"metal, heavy metal, rock, stoner rock, doom metal, hard rock",Paranoid,1970-09-18
16,Anarchy In The UK,Sex Pistols,"punk, proto-punk","Never Mind The Bollocks, Here Comes The Sex Pistols/Spunk",1977-10-27
17,Kool Thing,Sonic Youth,"noise rock, grunge, alternative rock, post-punk, shoegaze",Goo (Deluxe Edition),1990-01-01
18,My Name Is Jonas,Weezer,alternative rock,Weezer,1994-05-10
19,Even Flow,Pearl Jam,"grunge, rock, post-grunge",Ten,1991-01-01
20,Cities On Flame with Rock and Roll,Blue Öyster Cult,"classic rock, hard rock",The Best Of,2007-11-30
21,Holiday In Cambodia,Dead Kennedys,"punk, hardcore punk, skate punk, proto-punk",OMFG! That’s Punk,2009-06-23
22,Rock You Like A Hurricane,Scorpions,"hard rock, glam metal, rock",Bad For Good: The Very Best Of Scorpions,2002-01-01
23,Same Old Song And Dance,Aerosmith,"classic rock, rock",The Essential Aerosmith,1973-01-01
24,La Grange - 1999 Remaster,ZZ Top,"southern rock, classic rock, blues rock, rock",Rancho Texicano: The Very Best of ZZ Top,2004-06-08
