#,Song,Artist,Genres,Album,Album Date
1,Is This It,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
2,The Modern Age,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
3,Soma,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
4,Barely Legal,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
5,Someday,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
6,"Alone, Together",The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
7,Last Nite,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
8,Hard To Explain,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
9,When It Started,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
10,Trying Your Luck,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
11,Take It Or Leave It,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
12,New York City Cops,The Strokes,"garage rock, alternative rock, indie rock",Hard To Explain/New York City Cops,2002-04-30
13,What Ever Happened?,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
14,Reptilia,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
15,Automatic Stop,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
16,12:51,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
17,You Talk Way Too Much,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
18,Between Love & Hate,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
19,Meet Me in the Bathroom,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
20,Under Control,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
21,The Way It Is,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
22,The End Has No End,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
23,I Can't Win,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
24,Ize of the World,The Strokes,"garage rock, alternative rock, indie rock",First Impressions Of Earth,2006-01-03
25,You Only Live Once,The Strokes,"garage rock, alternative rock, indie rock",First Impressions Of Earth,2006-01-03
26,Mercy Mercy Me (The Ecology) - You Only Live Once B-Side,The Strokes,"garage rock, alternative rock, indie rock",You Only Live Once/Mercy Mercy Me,2006-09-26
27,Under Cover of Darkness,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
28,Two Kinds of Happiness,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
29,Taken for a Fool,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
30,Games,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
31,Gratisfaction,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
32,Life Is Simple in the Moonlight,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
33,OBLIVIUS,The Strokes,"garage rock, alternative rock, indie rock",Future Present Past,2016-06-03
34,Threat of Joy,The Strokes,"garage rock, alternative rock, indie rock",Future Present Past,2016-06-03
35,Fast Animals,The Strokes,"garage rock, alternative rock, indie rock",Fast Animals,2013-03-26
36,The Adults Are Talking,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
37,Bad Decisions,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
69,Jacqueline,Franz Ferdinand,indie rock,Franz Ferdinand,2004-02-16
70,Take Me Out,Franz Ferdinand,indie rock,Franz Ferdinand,2004-02-16
71,This Fire,Franz Ferdinand,indie rock,Franz Ferdinand,2004-02-16
72,Do You Want To,Franz Ferdinand,indie rock,You Could Have It So Much Better,2005-10-03
73,This Boy,Franz Ferdinand,indie rock,You Could Have It So Much Better,2005-10-03
74,You Could Have It So Much Better,Franz Ferdinand,indie rock,You Could Have It So Much Better,2005-10-03
75,All the Rage Back Home,Interpol,"indie rock, post-punk",El Pintor,2014-09-08
76,Hate To Say I Told You So,The Hives,garage rock,Veni Vidi Vicious,2000-01-01
94,Bodys,Car Seat Headrest,"midwest emo, indie rock",Twin Fantasy,2018-02-16
100,No One Knows,Queens of the Stone Age,"stoner rock, alternative rock",Songs For The Deaf,2002-01-01
102,Go With The Flow,Queens of the Stone Age,"stoner rock, alternative rock",Songs For The Deaf,2002-01-01
103,No You Girls,Franz Ferdinand,indie rock,Tonight,2009-01-27
104,Are You The One,Basement,"midwest emo, shoegaze, pop punk",Be Here Now / Are You The One,2019-04-26
105,Indie Rokkers,MGMT,indie,Time to Pretend,2005-08-30
106,Post Break-Up Sex,The Vaccines,indie,What Did You Expect from The Vaccines?,2011-03-14
107,No I In Threesome,Interpol,"indie rock, post-punk",Our Love To Admire,2007-07-10
108,Covet,Basement,"midwest emo, shoegaze, pop punk",Colourmeinkindness,2012-10-23
