#,Song,Artist,Genres,Album,Album Date
1,XO TOUR Llif3,Lil Uzi Vert,melodic rap,XO TOUR Llif3,2017-03-24
3,Lucid Dreams,Juice WRLD,"melodic rap, emo rap",Lucid Dreams,2018-05-04
4,Midsummer Madness,"88rising, Joji, Rich Brian",indonesian hip hop,Head In The Clouds,2018-07-20
7,SIR BAUDELAIRE (feat. DJ Drama),"Tyler, The Creator, DJ Drama",southern hip hop,CALL ME IF YOU GET LOST,2021-06-25
10,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",trap soul,CALL ME IF YOU GET LOST,2021-06-25
14,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator, Lil Uzi Vert, Pharrell Williams",melodic rap,CALL ME IF YOU GET LOST,2021-06-25
17,Wishing Well,Juice WRLD,"melodic rap, emo rap",Legends Never Die,2020-07-10
20,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator, Rex Orange County, Anna of the North",bedroom pop,Flower Boy,2017-07-21
25,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator, Brent Faiyaz, Fana Hues","r&b, alternative r&b",CALL ME IF YOU GET LOST,2021-06-25
29,L$D,A$AP Rocky,rap,AT.LONG.LAST.A$AP,2015-05-26
32,No Problem (feat. Lil Wayne & 2 Chainz),"Chance the Rapper, Lil Wayne, 2 Chainz","rap, hip hop, southern hip hop",Coloring Book,2016-05-27
33,STARGAZING,Travis Scott,rap,ASTROWORLD,2018-08-03
