#,Song,Artist,Genres,Album,Album Date
1,Stop This Train,John Mayer,singer-songwriter,Continuum,2006-09-11
2,Something Good,alt-J,"indie, indie rock",An Awesome Wave,2012-09-18
6,Crosses,José González,indie folk,Crosses,2003-07-02
9,Mountains,Message To Bears,post-rock,Folding Leaves,2012-01-01
10,Heartbeats,José González,indie folk,Veneer,2006-04-03
11,Say You Won't Let Go,James Arthur,soft pop,Back from the Edge,2016-10-28
12,Lucky,"Jason Mraz, Colbie Caillat","soft pop, acoustic pop",We Sing. We Dance. We Steal Things.,2008-05-12
14,Rolling Clouds,Paul Baribeau,"folk punk, anti-folk",Unbearable,2010-01-01
16,"Right Ahead, You Sailor!","Right Away, Great Captain!",folk punk,The Bitter End,2007-01-01
20,King of Spain,The Tallest Man On Earth,"indie folk, folk",The Wild Hunt,2010-04-13
22,Jane Doe,Never Shout Never,emo,What Is Love?,2010-01-01
23,Roll it on Home,John Mayer,singer-songwriter,The Search for Everything,2017-04-14
24,I'm Yours,Jason Mraz,"soft pop, acoustic pop",We Sing. We Dance. We Steal Things.,2008-05-12
27,Mykonos,Fleet Foxes,"indie folk, folk, indie",Sun Giant,2008-02-28
28,93 Million Miles,Jason Mraz,"soft pop, acoustic pop",Love Is a Four Letter Word (Deluxe Edition),2012-04-13
29,Curbside Prophet,Jason Mraz,"soft pop, acoustic pop",Waiting for My Rocket to Come,2002-01-01
31,Trance-Like Getaway,Never Shout Never,emo,Recycled Youth - Volume One,2015-03-03
34,Coastline,Hollow Coves,indie folk,Wanderlust,2017-02-03
41,Lemons,Woodlock,indie folk,Lemons,2013-03-23
42,Black Hole (Liar Liar),Never Shout Never,emo,Recycled Youth - Volume One,2015-03-03
43,Hands I Can Hold,Ziggy Alberts,folk pop,Land & Sea,2014-12-11
46,Fire and the Flood,Vance Joy,folk pop,Dream Your Life Away (Special Edition),2014-09-08
47,History,This Wild Life,"acoustic pop, pop punk",Clouded (Deluxe Edition),2014-05-27
48,XO,John Mayer,singer-songwriter,XO,2014-05-27
50,Black Flies,Ben Howard,"indie folk, folk pop",Every Kingdom,2011-01-01
54,Banana Pancakes,Jack Johnson,surf rock,In Between Dreams,2005-01-01
55,Ghost,Parekh & Singh,"indian indie, hindi indie",Ocean,2016-10-28
58,Pachuca Sunrise,Minus the Bear,"math rock, post-hardcore",Acoustics,2008-10-07
60,Piel Canela,Mi Sobrino Memo,"mexican indie, latin indie",Piel Canela,2017-09-25
61,Soñé Contigo,"Carlos Sadness, Marco Mares","latin indie, mexican indie",Soñé Contigo,2020-04-09
62,Cien Años,"Mi Sobrino Memo, Daniel Dennis","mexican indie, latin indie",Cien Años,2018-04-17
63,#Éramos Novios,Mi Sobrino Memo,"mexican indie, latin indie",Somos Amigos,2019-06-14
64,El Invento,José González,indie folk,El Invento EP,2022-03-09
