#,Song,Artist,Genres,Album,Album Date
1,Summer Is Here,Acid Ghost,dream pop,I Want to Hide My Face & Die,2015-11-26
2,No Quiero ser Madre,Margaritas Podridas,"mexican indie, shoegaze, riot grrrl, dream pop",No Quiero ser Madre,2022-08-15
3,Muérete de Envidia,Sgt. Papers,"mexican indie, egg punk, latin indie",Me Hiciste Brujería,2020-05-21
4,No Fuí Yo,Sgt. Papers,"mexican indie, egg punk, latin indie",Me Hiciste Brujería,2020-05-21
5,Miente,Bengala,"mexican indie, mexican rock, rock en español, latin indie, latin alternative",Bengala,2006-01-01
6,Pérdida Total,Sgt. Papers,"mexican indie, egg punk, latin indie",Pérdida Total,2022-10-26
7,Sandwich de Monda,Sgt. Papers,"mexican indie, egg punk, latin indie",SGTP,2021-10-15
17,Diosito,Sgt. Papers,"mexican indie, egg punk, latin indie",Diosito,2022-07-20
18,Déjala Ir,Bengala,"mexican indie, mexican rock, rock en español, latin indie, latin alternative",Laberinto,2019-10-18
19,Kill,Star 99,power pop,Gaman,2025-03-07
20,Brother,Star 99,power pop,Gaman,2025-03-07
