#,Song,Artist,Genres,Album,Album Date
2,PACKAPUNCH (feat. Danny Brown),"Joey Valence & Brae, Danny Brown","experimental hip hop, alternative hip hop",NO HANDS,2024-06-07
4,我が心のピンボール,Eiichi Ohtaki,"city pop, kayokyoku, j-pop, enka, shibuya-kei",A LONG VACATION,2021-03-21
5,雨のウェンズデイ,Eiichi Ohtaki,"city pop, kayokyoku, j-pop, enka, shibuya-kei",A LONG VACATION,2021-03-21
6,スピーチ・バルーン,Eiichi Ohtaki,"city pop, kayokyoku, j-pop, enka, shibuya-kei",A LONG VACATION,2021-03-21
7,恋するカレン,Eiichi Ohtaki,"city pop, kayokyoku, j-pop, enka, shibuya-kei",A LONG VACATION,2021-03-21
8,FUN×4,Eiichi Ohtaki,"city pop, kayokyoku, j-pop, enka, shibuya-kei",A LONG VACATION,2021-03-21
9,さらばシベリア鉄道,Eiichi Ohtaki,"city pop, kayokyoku, j-pop, enka, shibuya-kei",A LONG VACATION,2021-03-21
