#,Song,Artist,Genres,Album,Album Date
1,Vámonos De Viaje,Bandalos Chinos,"latin indie, mexican indie, latin alternative",BACH,2018-01-01
2,muero x ti,"Noah Pino Palo, CLUBZ","latin indie, mexican indie, latin alternative",muero x ti,2020-03-20
3,Áfrika,CLUBZ,"latin indie, mexican indie, latin alternative",Destellos,2018-09-28
4,¿Qué Tiene?,Ximena Sariñana,"latin indie, mexican indie, latin alternative",¿Dónde Bailarán Las Niñas?,2019-03-01
5,Ojos Negros,"Paula Cendejas, Girl Ultra","latin r&b, latin indie",Ojos Negros,2020-09-09
6,Morfina,Kiddie Gang,latin r&b,Morfina,2019-08-01
7,Mayagüez,Los Wálters,"latin indie, latin alternative, mexican indie",Isla Disco,2016-10-27
8,Malas Amistades,Vanessa Zamora,"latin indie, mexican indie, latin alternative, latin r&b",Tornaluna,2018-10-05
9,Fluir,Jardín,"mexican indie, latin indie, latin alternative",Todo Es Temporal,2015-11-25
10,nadie me cae bien,"Little Jesus, Jesse Baez","mexican indie, latin indie, latin alternative, latin r&b",nadie me cae bien,2021-08-27
11,Golden Choice,Little Jesus,"mexican indie, latin indie, latin alternative",Río Salvaje,2016-06-17
12,Isla,Bandalos Chinos,"latin indie, mexican indie, latin alternative",Isla,2016-09-09
13,Calma,Los Wálters,"latin indie, latin alternative, mexican indie",Caramelo,2018-06-14
14,Sin Morir,Fabiancito,latin indie,Casa Pepe,2020-01-17
15,Locos,León Larregui,"rock en español, mexican indie, latin indie, latin alternative",Voluma,2016-03-11
16,Beso,Jósean Log,"mexican indie, latin indie",Háblate de Mí,2016-10-14
17,"Flores, Labios, Dedos",Niños Del Cerro,"latin indie, neo-psychedelic",Lance,2018-08-31
18,Fuegos Artificiales,Simón Campusano,latin indie,Fuegos Artificiales,2020-10-02
19,Durmiendo en el Parque,Niños Del Cerro,"latin indie, neo-psychedelic",Durmiendo en el Parque,2020-01-10
20,Quiero Estar,Bratty,"mexican indie, latin indie",Delusión,2019-03-01
21,Toca Madera,Los Wálters,"latin indie, latin alternative, mexican indie",#ponteelcasco,2013-04-15
22,Me Enculé,Duck Fizz,"mexican indie, latin indie",Me Enculé,2019-03-15
23,Pintura,Patio Solar,"latin indie, mexican indie",Temporada,2015-01-14
24,Serotonina,"Simón Campusano, Diego Lorenzini",latin indie,Serotonina,2018-09-23
25,dame tu amor,ARIEL,"latin indie, mexican indie",dame tu amor,2020-08-21
26,Norte - Bonus,Little Jesus,"mexican indie, latin indie, latin alternative",Norte (Japanese Version),2013-12-17
27,Sí Po',Diego Lorenzini,latin indie,De Algo Hay Que Morir,2019-08-30
28,Amor Eterno,Vanessa Zamora,"latin indie, mexican indie, latin alternative, latin r&b",Amor Eterno,2016-08-19
29,Tú,maye,"latin indie, latin alternative",Tú,2019-09-06
30,Piel Canela,Mi Sobrino Memo,"mexican indie, latin indie",Piel Canela,2017-09-25
31,Una Vez Más,Ximena Sariñana,"latin indie, mexican indie, latin alternative",Una Vez Más,2020-04-30
32,Eres Tú,Carla Morrison,latin indie,Déjenme Llorar,2012-03-27
33,¿A Qué Te Sabe el Café?,Sebastián Romero,"mexican indie, latin indie",Conversaciones Ajenas en un Café,2019-05-17
34,"Mátame Please, Carita Feliz",Diego Lorenzini,latin indie,"Mátame Please, Carita Feliz",2020-08-14
36,Amor Ferrari,Luca Bocci,latin indie,No Pierdas la Simpleza,2020-06-19
37,Brillo Mio,Caloncho,"latin indie, mexican indie, latin alternative",Bálsamo,2017-08-11
38,Optimista,Caloncho,"latin indie, mexican indie, latin alternative",Bálsamo,2017-08-11
39,Distantes,Technicolor Fabrics,"mexican indie, latin indie, latin alternative",Presente,2019-05-31
40,Ojitos Soñados,Ramona,"mexican indie, latin indie, latin alternative",Cérès,2017-10-20
