#,Song,Artist,Genres,Album,Album Date
1,La Magia,Little Jesus,"mexican indie, latin indie, latin alternative",Río Salvaje,2017-04-07
2,Los Años Maravillosos,Little Jesus,"mexican indie, latin indie, latin alternative",Disco de Oro,2019-05-24
3,Nuevo México,Little Jesus,"mexican indie, latin indie, latin alternative",Río Salvaje,2016-06-17
4,Cuernavaca,Los Plastics Revolution,"mexican indie, latin indie, latin alternative",Super Seres de Mundos Extraordinarios,2019-03-01
5,Natsuko,Los Plastics Revolution,"mexican indie, latin indie, latin alternative",Natsuko,2014-01-15
6,Kilimanjaro,Tripulación de Osos,latin indie,Kilimanjaro,2020-03-27
7,Departamento,"Bandalos Chinos, Adan Jodorowsky","latin indie, mexican indie, latin alternative",Departamento,2019-08-02
8,"Los Ángeles, California",Little Jesus,"mexican indie, latin indie, latin alternative",Disco de Oro,2019-05-24
9,La Duda,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Daltónico,2010-01-01
10,00:00,Siddhartha,"mexican indie, latin indie, latin alternative, rock en español",00:00,2022-03-31
11,Plural Siendo Singular,José Madero,mexican indie,Carmesí,2016-04-29
12,Por Esta Razón,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Proaño,2014-10-14
13,Tu Falta De Querer,Mon Laferte,latin alternative,Mon Laferte (Vol. 1),2015-08-21
14,No Me Destruyas,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Memo Rex Commander y el Corazón Atómico de la Vía Láctea,2006-07-12
15,Cobarde,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Daltónico,2010-01-01
16,Visita,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Daltónico,2010-01-01
17,Dulce Soledad,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Daltónico,2010-01-01
18,Manía Cardiaca,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",El Segundo Es Felino,2008-01-01
19,Impacto,"Enjambre, Denise Gutiérrez","mexican indie, rock en español, mexican rock, latin indie, latin rock, bolero, latin alternative",El Segundo Es Felino,2008-01-01
20,Somos Ajenos,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Enjambre Y Los Huéspedes Del Orbe,2012-01-01
21,Vía Láctea,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Memo Rex Commander y el Corazón Atómico de la Vía Láctea,2006-07-12
22,Sábado Perpetuo,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Proaño,2014-10-14
23,Tokyo,Young Tender,"mexican indie, latin indie, latin alternative",Rotos,2018-08-02
25,Alexander,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",The Future Sugar (Track by Track Commentary),2015-07-16
26,Ninjas,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",Ninjas,2017-03-10
27,Náufrago,Siddhartha,"mexican indie, latin indie, latin alternative, rock en español",Náufrago,2011-04-05
28,10 A.M.,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Programaton,2013-01-01
29,Flames,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",Flames,2019-02-21
30,Bacalar,Siddhartha,"mexican indie, latin indie, latin alternative, rock en español",El Vuelo del Pez,2014-01-14
31,Azul,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Aztlán,2018-04-18
32,Tarde,Siddhartha,"mexican indie, latin indie, latin alternative, rock en español",Únicos,2016-09-23
33,No Hay Mal Que Dure,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Aztlán,2018-04-18
34,Fire Away,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",The Future Sugar (Track by Track Commentary),2015-07-16
