#,Song,Artist,Genres,Album,Album Date
1,Something Good,alt-J,"indie, indie rock",An Awesome Wave,2012-09-18
3,Crosses,José González,indie folk,Crosses,2003-07-02
4,Heartbeats,José González,indie folk,Veneer,2006-04-03
6,Stay Alive - From  The Secret Life of Walter Mitty  Soundtrack,José González,indie folk,Stay Alive (From The Secret Life Of Walter Mitty),2013-01-01
7,Mountains,Message To Bears,post-rock,Folding Leaves,2012-01-01
11,Cycling Trivialities,José González,indie folk,In Our Nature,2007-09-24
12,Matilda,alt-J,"indie, indie rock",An Awesome Wave,2012-09-18
15,You Already Know,"Bombay Bicycle Club, Kathryn Williams","indie rock, indie",Evening/Morning,2008-08-04
17,Haven (from Life Is Strange),Novo Amor,ambient folk,Haven (from Life Is Strange),2021-03-18
18,Rolling Clouds,Paul Baribeau,"folk punk, anti-folk",Unbearable,2010-01-01
21,El Invento,José González,indie folk,El Invento EP,2022-03-09
24,No Below,Speedy Ortiz,indie punk,Major Arcana,2013-07-09
27,Black Flies,Ben Howard,"indie folk, folk pop",Every Kingdom,2011-01-01
28,Eu Te Odeio,Carne Doce,nova mpb,Princesa,2016-08-24
29,Misguided Ghosts,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
32,Náufrago,Siddhartha,"mexican indie, latin indie, latin alternative, rock en español",Náufrago,2011-04-05
