#,Song,Artist,Genres,Album,Album Date
1,Traicionera,Sebastian Yatra,"colombian pop, reggaeton",Traicionera,2016-06-24
2,Sigo Extrañándote,J Balvin,"reggaeton, latin",Energía,2016-06-24
3,Otra Vez (feat. J Balvin),"Zion & Lennox, J Balvin","reggaeton, latin",Motivan2,2016-09-30
4,El Efecto,"Rauw Alejandro, Chencho Corleone","reggaeton, urbano latino, trap latino, latin",El Efecto,2019-03-15
5,Hasta Que Salga el Sol,Ozuna,"reggaeton, trap latino, latin, urbano latino",Nibiru,2019-11-29
6,Fantasía,Ozuna,"reggaeton, trap latino, latin, urbano latino",Nibiru,2019-11-29
8,Si Estuviésemos Juntos,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",X 100PRE,2018-12-23
9,La Cama,"Lunay, Myke Towers","reggaeton, trap latino, urbano latino",Épico,2019-10-25
10,Solo de Mi,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",Solo de Mi,2018-12-14
11,Vamo a Busal,Jowell & Randy,"reggaeton, urbano latino",Vamo a Busal,2014-12-13
12,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna","latin, reggaeton, trap latino, urbano latino","Yo x Ti, Tu x Mi",2019-08-15
13,Soltera (Remix),"Lunay, Daddy Yankee, Bad Bunny","reggaeton, latin, trap latino, urbano latino",Soltera (Remix),2019-05-10
14,Krippy Kush,"Farruko, Bad Bunny, Rvssian","reggaeton, trap latino, urbano latino, latin",TrapXficante,2017-09-15
15,No Me Conoce - Remix,"JHAYCO, J Balvin, Bad Bunny","reggaeton, trap latino, urbano latino, latin",Famouz,2019-05-24
16,Yo Perreo Sola,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",YHLQMDLG,2020-02-29
17,El Perdón (with Enrique Iglesias),"Nicky Jam, Enrique Iglesias","reggaeton, latin, latin pop",Fénix,2017-01-20
18,6 AM,"J Balvin, Farruko","reggaeton, latin, trap latino",La Familia,2013-09-29
19,Calma - Remix,"Pedro Capó, Farruko","latin pop, latin, reggaeton, trap latino",Calma (Remix),2018-10-05
20,Inocente,Myke Towers,"reggaeton, trap latino, urbano latino",Inocente,2019-06-25
21,TKN (feat. Travis Scott),"ROSALÍA, Travis Scott","latin, rap",TKN (feat. Travis Scott),2020-05-28
23,MALA SANTA,Becky G,"reggaeton, latin",MALA SANTA,2019-10-18
24,Medusa,"JHAYCO, Anuel AA, J Balvin","reggaeton, trap latino, urbano latino, latin",Medusa,2020-02-05
25,No Te Enamores,Paloma Mami,"chilean trap, reggaeton chileno",No Te Enamores,2018-12-21
26,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas","reggaeton, trap latino, urbano latino, latin, latin pop, latin rock",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05
27,Yonaguni,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",Yonaguni,2021-06-04
28,Volví,"Aventura, Bad Bunny","bachata, reggaeton, trap latino, urbano latino, latin",Volví,2021-08-03
29,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA","reggaeton, trap latino, urbano latino, latin",EL ÚLTIMO TOUR DEL MUNDO,2020-11-27
30,Otra Noche en Miami,Bad Bunny,"reggaeton, trap latino, urbano latino, latin",X 100PRE,2018-12-23
31,Gato de Noche,"Ñengo Flow, Bad Bunny","reggaeton, trap latino, urbano latino, latin",Gato de Noche,2022-12-22
