#,Song,Artist,Genres,Album,Album Date
2,Déjala Ir,Bengala,"mexican indie, mexican rock, rock en español, latin indie, latin alternative",Laberinto,2019-10-18
3,Oi :),Lupa,brazilian rock,Oi :),2019-02-08
4,Justo Eu,Lupa,brazilian rock,Lupercália,2018-09-25
5,Bixinho,Lupa,brazilian rock,Bixinho,2019-08-23
6,E Se Não Der Pra Esperar?,Lupa,brazilian rock,E Se Não Der Pra Esperar?,2019-04-26
7,Vai Doer,Lupa,brazilian rock,Vai Doer,2019-11-01
8,Tangerine,Violet Soda,brazilian rock,Tangerine,2018-11-09
9,Anna Júlia,Los Hermanos,"brazilian rock, mpb, nova mpb, brazilian pop",Los Hermanos,1999-06-05
10,Despedida,Selvagens à Procura de Lei,"brazilian rock, nova mpb",Selvagens à Procura de Lei,2013-06-04
11,Cárcel,Bengala,"mexican indie, mexican rock, rock en español, latin indie, latin alternative",Oro,2009-01-01
13,50/50,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
