#,Song,Artist,Genres,Album,Album Date
1,Rapp Snitch Knishes,"MF DOOM, Mr. Fantastik","experimental hip hop, east coast hip hop, jazz rap, alternative hip hop",MM..FOOD,2004-11-16
2,Margiela Split Toes (feat. Mach-Hommy),"Westside Gunn, Mach-Hommy","boom bap, alternative hip hop, jazz rap, experimental hip hop",Hitler Wears Hermes 8: Sincerely Adolf,2021-08-27
3,Deep Fried Frenz,MF DOOM,"experimental hip hop, east coast hip hop, jazz rap, alternative hip hop",MM..FOOD,2004-11-16
4,Fazers,King Geedorah,"alternative hip hop, jazz rap, experimental hip hop",Take Me To Your Leader,2003-06-17
5,Brand New 911,"Joey Bada$$, Westside Gunn","hip hop, rap, boom bap, alternative hip hop, jazz rap",2000,2022-07-22
6,"The Fly who couldn't Fly straight (feat. Tyler, The Creator)","Westside Gunn, Tyler, The Creator","boom bap, alternative hip hop, jazz rap",Hitler Wears Hermes 8: Side B,2021-09-24
7,"327 (feat. Tyler, The Creator & Billie Essco)","Westside Gunn, Joey Bada$$, Tyler, The Creator, Billie Essco","boom bap, alternative hip hop, jazz rap, hip hop, rap, east coast hip hop",Pray for Paris,2020-04-17
8,Check the Rhime,A Tribe Called Quest,"jazz rap, east coast hip hop, hip hop, old school hip hop",The Low End Theory,1991-09-24
9,It Was A Good Day,Ice Cube,"gangster rap, west coast hip hop, old school hip hop, g-funk",The Predator,1992-11-17
10,Passin' Me By,The Pharcyde,"jazz rap, west coast hip hop, old school hip hop",Bizarre Ride II The Pharcyde,1992-11-24
11,Steve Biko (Stir It Up),A Tribe Called Quest,"jazz rap, east coast hip hop, hip hop, old school hip hop",Midnight Marauders,1993-11-09
12,8 Million Stories,A Tribe Called Quest,"jazz rap, east coast hip hop, hip hop, old school hip hop",Midnight Marauders,1993-11-09
13,Hypnotize - 2014 Remaster,The Notorious B.I.G.,"old school hip hop, gangster rap, east coast hip hop, hip hop",Life After Death (2014 Remastered Edition),1997-03-04
14,Big Poppa - 2005 Remaster,The Notorious B.I.G.,"old school hip hop, gangster rap, east coast hip hop, hip hop",Ready to Die (The Remaster),1994-09-13
15,Sound of da Police,KRS-One,"east coast hip hop, old school hip hop, hip hop, hardcore hip hop",Return of the Boom Bap,1993-09-03
16,"Shook Ones, Pt. II",Mobb Deep,"east coast hip hop, old school hip hop, hardcore hip hop, hip hop, gangster rap",The Infamous,1995-04-25
