#,Song,Artist,Genres,Album,Album Date
24,Death Song,Stranger and Lovers,"post-punk, darkwave, cold wave, deathrock, gothic rock",Stranger and Lovers,2019-11-27
25,Maldita Confusión,Daniela Vald,post-punk,Daniela Vald EP,2019-09-08
26,Mechanic,Rebel Empire,"ebm, industrial",Movimiento Máquina (International Brotherhood of Machines),2017-09-15
27,Palabras,Flexible,darkwave,Flexible,2017-02-05
28,Ángel,Decena Trágica,"post-punk, deathrock, darkwave, cold wave, gothic rock",Ángel,2019-12-17
30,Melancolia,Depraved Priest,"ebm, industrial",Depraved Priest,2020-07-03
31,Hatroz,Hatrox,"ebm, post-punk",Rugiendo De Furia,2020-07-03
33,Mentes Vacias,Ultimattum,ebm,Maquinarias,2019-08-02
34,In My Eyes,I Can Fly,"post-punk, darkwave, cold wave",I Can Fly,2015-07-27
35,Zweiheit,Werner Karloff,"cold wave, darkwave, post-punk, ebm","Stereochip Mixtape, Vol. 1",2018-06-20
36,Ojos Invisibles,Mekrokiev,"deathrock, gothic rock, post-punk, darkwave, cold wave, horror punk",Esfera,2011-10-28
37,Lean (Post-Punk),Saúl De los Santos,"post-punk, mexican indie",Lean (Post-Punk),2020-09-17
38,Pornorama,Los Malkavian,"post-punk, darkwave, deathrock",Letargo,2018-07-11
40,Alfabeto - Cold Version 1985,Decada 2,"mexican indie, ebm, gothic rock, post-punk, darkwave",The Vox (Vol. 1) [1985-1989],2016-02-22
41,Lápidas de Sal,Funeralz,"post-punk, cold wave, darkwave, gothic rock",Lápidas de Sal,2020-08-07
42,Ni Volteando Santos - Remaster,Silis,"mexican rock, post-punk, darkwave",Capítulo 2,2020-01-10
43,Assembly of Shadows,"Dead Stop Mx, Mike Dead, Paco Almazán, Joél Rodríguez, Kelvin Nosti","post-punk, darkwave",Assembly of Shadows,2020-06-01
44,Huracán,Fausto,mexican rock,Homónimo,2017-09-22
45,Perdido,Strongville,"post-punk, cold wave, darkwave",Perdido,2020-07-24
47,Dead Bodies,Monotonous Cities,"post-punk, darkwave, cold wave, deathrock, gothic rock",Monotonous City,2018-01-01
48,Las Brujas,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Entidad Mutante - 9132 Días (Remasterizada),2017-09-01
49,El Año Del Dragón,Caifanes,"rock en español, mexican rock, latin rock, latin alternative",El Nervio Del Volcan,1994-01-01
50,Esclavas,Cruz De Navajas,"deathrock, post-punk, darkwave, gothic rock, cold wave",Dominacion,2018-02-14
51,Vivir sin ti,Orlok,"deathrock, gothic rock",2020,2020-03-27
52,Affective Disorders,Nite Shadows,"post-punk, cold wave, darkwave",Hit You,2018-01-01
54,Freedom Melodies,Capitals,"cold wave, post-punk, darkwave",Freedom Melodies,2019-09-11
55,Vaccum,Estrero,"post-punk, darkwave, cold wave, mexican ska, deathrock, gothic rock",¿Estrero?,2019-12-11
56,Sad Lovers,Monotonous Cities,"post-punk, darkwave, cold wave, deathrock, gothic rock",Monotonous City,2018-01-01
57,Blackmail,Inhabitants MX,"post-punk, cold wave, darkwave",Blackmail,2018-05-08
58,Tonight,Size,"post-punk, egg punk, darkwave, mexican rock, deathrock, cold wave",Size,2018-11-02
59,Sarajevo,Acid Fader,"post-punk, cold wave, darkwave",Sarajevo,2019-07-18
60,Destrucción,The Funeral Medieval,"post-punk, cold wave, deathrock, darkwave, gothic rock","Colder Streets: Cold Wave / Minimal Synth Compilation, Vol. 1",2020-03-27
61,Magnétique,La Bande-Son Imaginaire,"darkwave, post-punk, gothic rock, cold wave, ebm",Mezcal a pleno vuelo,2018-04-09
62,Sin Miedo,San Charbel,"post-punk, mexican indie, darkwave, latin indie",Nubes,2017-03-10
63,Go Away,Hvmvn,"post-punk, cold wave",Hollow,2017-12-15
64,Será por Eso,Caifanes,"rock en español, mexican rock, latin rock, latin alternative",Caifanes,1988-05-15
65,Zoroastro,El Ojo Y La Navaja,"darkwave, cold wave, post-punk, deathrock, gothic rock, mexican ska",Anarquía Coronada,2018-08-01
66,Tú Besando la Locura,Hueco,"gothic rock, mexican rock, post-punk, deathrock",Tú Besando la Locura,2020-09-18
67,Ella Se Queda,Mint Field,"shoegaze, dream pop, mexican rock, mexican indie, latin indie, space rock",Mientras Esperas,2019-03-01
68,You fucked the Devil Rosemary!,Vestron Vulture,"darkwave, post-punk, cold wave, synthwave, witch house",The Collection,2018-01-01
69,Aufmerksamkeitsdefizit​​-Hyperaktivitätsstörung,Mementut,"post-punk, darkwave, cold wave, deathrock, gothic rock",Post-Punk / Mementut Itsog Album Completo,2020-10-13
70,Irrational Fears,SUNNSET,"darkwave, post-punk, cold wave, deathrock, gothic rock",Una Mirada a Través De La Medusa (Un Ensayo Incompleto),2019-05-18
71,Я Иду В Oxxo (Demo),Darkø,"darkwave, post-punk, cold wave, gothic rock",Я Иду В Oxxo (Demo),2020-05-30
72,Walk the Night (Demo Version),Blood Dance,"gothic rock, deathrock, darkwave, post-punk, cold wave",Walk the Night (Demo Version),2019-10-25
74,Alive,Candy Colors,"post-punk, cold wave, darkwave, latin indie",Casus Belli,2015-10-07
75,Nubes,San Charbel,"post-punk, mexican indie, darkwave, latin indie",Nubes,2017-03-10
76,Swimming,Marlento,"post-punk, cold wave",Ludo Lpn2,2011-02-26
78,Calisto,HOFFEN,"darkwave, post-punk, cold wave, deathrock, gothic rock",Cold Tears of an Angel,2016-01-01
79,Frost,Blue Nipples,"post-punk, mexican rock, cold wave",Metonimia Pt. 2,2019-01-18
80,Ocean,Wallabies,"post-punk, cold wave",Ocean,2016-06-17
81,Sombras,DUVVII,"mexican indie, post-punk, shoegaze, cold wave",Eternos,2019-06-09
82,Zapata,YoungYoung,"post-punk, darkwave, cold wave",YoungYoung (Homónimo),2018-03-08
83,Inmune,Waterfalls,"post-punk, cold wave",Inmune,2018-11-19
84,Inferno Club,Acid Waves,darkwave,Inferno Club,2017-07-21
85,Berlin,Sexores,"shoegaze, dream pop, darkwave, post-punk, cold wave",East / West,2018-03-15
86,Shadow of Your Love,The Darkstar Calling,"gothic rock, darkwave, cold wave, post-punk, deathrock",Shadow of Your Love,2018-12-02
87,El Miedo,Espejo Convexo,"post-punk, darkwave, cold wave, gothic rock, deathrock",Ruina Circular,2017-07-26
88,Todos tienen miedo,Fe,"post-punk, cold wave, darkwave",Edén,2020-04-29
89,Claustrophobic Love,Soma Cake,"post-punk, cold wave, jangle pop, gothic rock, darkwave, shoegaze",The Longest Hug,2020-03-05
90,Beauty of Revenge,Capitals,"cold wave, post-punk, darkwave", AÑO ONCE ,2019-01-22
91,Asterion,Procesamiento digital de señales,"post-punk, darkwave, gothic rock, cold wave",Clutter,2018-10-11
92,Abscond,Between Minds,"post-punk, cold wave, darkwave, gothic rock",Between Minds,2019-02-25
93,Quiero Otoño de Nuevo,Mint Field,"shoegaze, dream pop, mexican rock, mexican indie, latin indie, space rock",Pasar de las Luces,2018-02-23
94,Away,Hawaiian Gremlins,"post-punk, mexican indie, cold wave, darkwave",Away,2015-09-13
95,Mystery,Dead Stop Mx,post-punk,Borderline,2020-01-14
97,Miente,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Miente,2021-02-01
98,Los inocentes,EESCA,"post-punk, darkwave, cold wave, deathrock, gothic rock",Los inocentes,2021-02-02
99,Perdido,Funeralz,"post-punk, cold wave, darkwave, gothic rock",Perdido,2021-02-22
100,Futura,Demian Lair,"darkwave, post-punk, cold wave",Muerte Joven y Las Paradojas Del Amor en el Tiempo,2020-10-24
101,Tensión,Red Cigarettes,"post-punk, deathrock",Irrelevant (Demo),2019-12-27
102,What happened to us,Morning Rain,"post-punk, cold wave, darkwave",Love Rain,2021-02-11
104,Do Bist Mein,Sex Catrina,"deathrock, cold wave, post-punk, darkwave",Bitter / Gray Melodies,2011-06-23
105,Nothing but Pain (Real Under Mix),Blood Dance,"gothic rock, deathrock, darkwave, post-punk, cold wave",Nothing but Pain,2019-05-17
106,Micrograma,.Stendal,"post-punk, mexican indie, darkwave, cold wave",Vectores,2019-11-07
107,Espejos,EESCA,"post-punk, darkwave, cold wave, deathrock, gothic rock",Espejos,2021-08-08
108,Machines,Gorgonas,"deathrock, gothic rock, post-punk, horror punk, darkwave, cold wave",XIII,2021-08-03
109,On My Grave,Animal Rojo,"deathrock, cold wave, gothic rock, darkwave, post-punk",Garden of Gloom,2018-11-23
110,Ya No Estás,Cleus,"darkwave, post-punk, cold wave, gothic rock","Stereochip Mixtape, Vol. 1",2018-06-20
111,Nocturno,Sombrío,"gothic rock, deathrock, post-punk, darkwave, gothic metal, cold wave, horror punk",Esta Historia,2021-12-14
112,Eternal,Lucida Fila,"gothic rock, deathrock, darkwave, post-punk",Et Vidi Lucem...,2020-08-06
114,Una chica más,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Magia Negra,2020-07-05
115,Decadencia,Las Ánimas del Cuarto Obscuro,"post-punk, darkwave, deathrock, gothic rock, cold wave",Las Ánimas del Cuarto Obscuro,2021-10-08
116,Quiero Bailar con los Muertos,Rey Rata,"darkwave, post-punk, cold wave, deathrock, gothic rock",Quiero Bailar con los Muertos,2022-03-23
117,Fracaso en el Amor,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Fracaso en el Amor,2022-05-18
118,Cigarrillos para ella,"TETRICA, Tania Levian","deathrock, gothic rock, post-punk, darkwave, cold wave",Cigarrillos para ella,2022-04-01
119,Virgen loco,Black Cats,"darkwave, post-punk",Danza Macabra,2022-06-02
120,La peste,Black Cats,"darkwave, post-punk",Danza Macabra,2022-06-02
121,Desaparece de Mí,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Desaparece de Mí,2023-01-23
122,Soledad,Krusty.999,"post-punk, cold wave, darkwave, deathrock",Soledad,2023-06-09
123,Descontrol,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Descontrol,2024-06-25
124,Acábame,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Acábame,2024-02-29
125,Ya No Hay Pétalos,Té De Navajas,"post-punk, darkwave, cold wave, deathrock, gothic rock",Ya No Hay Pétalos,2024-08-23
126,Vision,Alde,"cold wave, darkwave, post-punk, gothic rock, deathrock, mexican ska",Vision,2024-10-18
128,La muerte te acecha,Ritüel For Two,"cold wave, darkwave, post-punk, gothic rock",La muerte te acecha,2021-04-04
129,Dark Stars,Ritüel For Two,"cold wave, darkwave, post-punk, gothic rock",Dark Stars,2023-02-24
130,El Jardin del Eden,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",El Jardin del Eden,2024-06-23
131,México,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",México,2024-09-27
132,Dejaré de Existir,Úukum,"post-punk, cold wave, darkwave, horror punk",Dejaré de Existir,2023-07-21
133,Kokaine,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Kokaine,2023-07-01
134,Tenochtitlan,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
135,Magia negra,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
136,Una chica mas,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
137,Desaparece de mi,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
138,El jardin del eden,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
139,Fracaso en el amor,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
140,Vamos,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
141,Descontrol,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
142,Miente,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
143,Cocaina - Extended Version,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Calaverx,2023-03-31
144,Desire,"DANCING STRANGERS, Lorelle Meets The Obsolete","deathrock, gothic rock, darkwave, cold wave, post-punk, neo-psychedelic, space rock, psychedelic rock, shoegaze, krautrock",Desire,2023-01-11
145,Espejo,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Espejo,2025-04-18
146,Acércate,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Acércate,2025-07-18
147,El Paso del Tiempo,Silueta Pálida,"post-punk, mexican rock, cold wave",Silueta Pálida,1984-01-01
148,Fabrica de Estrellas,Ninot,"mexican rock, rock en español, post-punk",Mil Marionetas,1999-01-01
149,Asi Como Tu,Ninot,"mexican rock, rock en español, post-punk",Mil Marionetas,1999-01-01
150,Hombre de Paja,Ninot,"mexican rock, rock en español, post-punk",Mil Marionetas,1999-01-01
151,Pueblo Fantasma,Las Ánimas del Cuarto Obscuro,"post-punk, darkwave, deathrock, gothic rock, cold wave",Las Ánimas del Cuarto Obscuro,2021-10-08
152,Azul Pastel,Las Ánimas del Cuarto Obscuro,"post-punk, darkwave, deathrock, gothic rock, cold wave",Las Ánimas del Cuarto Obscuro,2021-10-08
153,Virginia,Las eras,"darkwave, cold wave, post-punk",Virginia,2024-02-14
154,Constitución,Las eras,"darkwave, cold wave, post-punk",Austral,2019-10-18
155,Nadie lo conoce,Las eras,"darkwave, cold wave, post-punk",Austral,2019-10-18
156,Crepúsculo Ascendente,Hueco,"gothic rock, mexican rock, post-punk, deathrock",Medusa (O de los Amores Terribles),2014-01-17
157,Nos Vamos Juntos,Hueco,"gothic rock, mexican rock, post-punk, deathrock",La Negra Voz de Dios,2017-08-11
158,Oxidando,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
159,Painkiller,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
160,Mumbai Fever,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
161,Butterfly,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
162,Art Attack,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
163,Secrets,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
164,Sometimes (I'm Not),Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
165,Party With A Stranger,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
166,Paranoia,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
167,Silence,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
168,Questions,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Stranger,2009-05-26
169,El Entierro,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
170,Lapsus,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
171,Sin Control,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
172,Te Vas,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
173,Nada,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
174,Adiós,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
175,Despertar,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
176,Ojos Heridos,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
177,Payaso,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
178,Carrusel,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
179,Fantasías,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
180,El Reino de los Duendes,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
181,Cariño (Quisiera Llegarte a Odiar),El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
182,Las Brujas,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
183,Más Allá del Tiempo,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
184,La Tortura,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
185,Gárgolas,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
186,Recuerdos,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
187,Despiértame,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
188,Azul de Medianoche,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sin Sentir,1994-04-10
189,El Santuario,EURIDICE,"mexican rock, post-punk",Euridice I,2015-01-01
190,Los Aullidos,EURIDICE,"mexican rock, post-punk",Euridice I,2015-01-01
191,Taj Mahal,EURIDICE,"mexican rock, post-punk",Euridice I,2015-01-01
192,Perdido en Moscú,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
193,Nada Es Real,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
194,Aullidos,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
195,El Visionario,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
196,Santa Sustancia,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
197,La Promesa,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
198,Diseño de Inocencia,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
199,Zombi,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
200,Ven,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
201,Heroes Derrotados,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
202,Orfeo,EURIDICE,"mexican rock, post-punk",Entre el Humo y las Llamas,2015-03-07
203,Give It Up,Hawaiian Gremlins,"post-punk, mexican indie, cold wave, darkwave",Girls,2014-01-01
204,Bright Lights,Hawaiian Gremlins,"post-punk, mexican indie, cold wave, darkwave",Girls,2014-01-01
205,Beyond,Hawaiian Gremlins,"post-punk, mexican indie, cold wave, darkwave",Girls,2014-01-01
206,Forever,Hawaiian Gremlins,"post-punk, mexican indie, cold wave, darkwave",Girls,2014-01-01
207,Aa Aa,Hawaiian Gremlins,"post-punk, mexican indie, cold wave, darkwave",Girls,2014-01-01
208,Outro,Hawaiian Gremlins,"post-punk, mexican indie, cold wave, darkwave",Girls,2014-01-01
209,Ecstasy,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
210,No Lesson,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
211,1990,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
212,Introspective Trip,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
213,Further,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
214,Gone Fast,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
215,Together,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
216,Hidden,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
217,Something You Can't Forget,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
218,Around Here,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
219,Evocation,Bellenger,"post-punk, darkwave, cold wave, gothic rock",Ellipsism,2017-01-01
220,Cults,Bellenger,"post-punk, darkwave, cold wave, gothic rock",Ellipsism,2017-01-01
221,Monuments,Bellenger,"post-punk, darkwave, cold wave, gothic rock",Ellipsism,2017-01-01
222,Dystopia,Bellenger,"post-punk, darkwave, cold wave, gothic rock",Ellipsism,2017-01-01
223,Cioran,Bellenger,"post-punk, darkwave, cold wave, gothic rock",Ellipsism,2017-01-01
224,Past the Shades,Bellenger,"post-punk, darkwave, cold wave, gothic rock",Ellipsism,2017-01-01
225,Axis,Bellenger,"post-punk, darkwave, cold wave, gothic rock",Ellipsism,2017-01-01
226,Color del Cielo,Espejo Convexo,"post-punk, darkwave, cold wave, gothic rock, deathrock",Ruina Circular,2017-07-26
227,Relación,Espejo Convexo,"post-punk, darkwave, cold wave, gothic rock, deathrock",Ruina Circular,2017-07-26
228,La Fuga,Espejo Convexo,"post-punk, darkwave, cold wave, gothic rock, deathrock",Ruina Circular,2017-07-26
229,Fire,Espejo Convexo,"post-punk, darkwave, cold wave, gothic rock, deathrock",Ruina Circular,2017-07-26
230,Ruina Circular,Espejo Convexo,"post-punk, darkwave, cold wave, gothic rock, deathrock",Ruina Circular,2017-07-26
231,Depuración,Cruz De Navajas,"deathrock, post-punk, darkwave, gothic rock, cold wave",Dominacion,2018-02-14
232,Imperialismo,Cruz De Navajas,"deathrock, post-punk, darkwave, gothic rock, cold wave",Dominacion,2018-02-14
233,Ciudad,Cruz De Navajas,"deathrock, post-punk, darkwave, gothic rock, cold wave",Dominacion,2018-02-14
234,Las Personas Son Bestias,Cruz De Navajas,"deathrock, post-punk, darkwave, gothic rock, cold wave",Dominacion,2018-02-14
235,Parasitos,Cruz De Navajas,"deathrock, post-punk, darkwave, gothic rock, cold wave",Dominacion,2018-02-14
236,Suna,Cruz De Navajas,"deathrock, post-punk, darkwave, gothic rock, cold wave",Dominacion,2018-02-14
237,Spk,Cruz De Navajas,"deathrock, post-punk, darkwave, gothic rock, cold wave",Dominacion,2018-02-14
238,Insomnio,Leonora Post Punk,"post-punk, darkwave, cold wave, deathrock, gothic rock",Insomnio,2020-05-27
239,Sufrí,Leonora Post Punk,"post-punk, darkwave, cold wave, deathrock, gothic rock",Eternos,2020-10-26
240,Reina Negra,Leonora Post Punk,"post-punk, darkwave, cold wave, deathrock, gothic rock",Eternos,2020-10-26
241,Eternos,Leonora Post Punk,"post-punk, darkwave, cold wave, deathrock, gothic rock",Eternos,2020-10-26
242,Insomnio,Leonora Post Punk,"post-punk, darkwave, cold wave, deathrock, gothic rock",Eternos,2020-10-26
243,Colonia Americana,Leonora Post Punk,"post-punk, darkwave, cold wave, deathrock, gothic rock",Eternos,2020-10-26
244,Anestesia,Norwayy,mexican indie,Anestesia,2021-08-01
245,Hogar,The Stag Film,post-punk,Cry with Me,2021-08-06
246,Love rain,Morning Rain,"post-punk, cold wave, darkwave",Love Rain,2021-02-11
