#,Song,Artist,Genres,Album,Album Date
1,Tenochtitlan,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Tenochtitlan,2022-03-09
2,El Diablo en el Cuerpo,Size,"post-punk, egg punk, darkwave, mexican rock, deathrock, cold wave",Size,2018-11-02
3,Música Electrónica - 1988,Decada 2,"mexican indie, ebm, gothic rock, post-punk, darkwave",The Vox (Vol. 1) [1985-1989],2016-02-22
4,Furia,El Clan,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal",Sigue Soplando el Anima,1998-01-01
5,Astrónomo Insumiso,Equinoxious,"cold wave, darkwave, post-punk, gothic rock, ebm",Cosmódromo,2016-09-01
6,Cuerpos Huecos,Casino Shanghai,"mexican rock, post-punk, cold wave, darkwave, synthpop",Film,1985-06-01
7,Two-Headed Hydra,HOFFEN,"darkwave, post-punk, cold wave, deathrock, gothic rock",Cold Tears of an Angel,2016-01-01
8,Eternos,Leonora Post Punk,"post-punk, darkwave, cold wave, deathrock, gothic rock",Eternos,2020-05-07
9,Atlas,I Can Fly,"post-punk, darkwave, cold wave",Atlas,2017-05-09
10,Invitación a las armas,Emilio Revólver,"post-punk, gothic rock, cold wave, darkwave",Revlover,2019-01-08
11,D Killer,Alkalá,"darkwave, cold wave, post-punk, deathrock, gothic rock",Vacui I,2019-10-04
12,Fiction,Neue Strassen,"cold wave, darkwave, post-punk, deathrock, gothic rock",Moderne Zeiten,2017-03-11
14,Lunas,Inovercy,"deathrock, post-punk, darkwave, gothic rock, cold wave",Lunas,2020-04-12
15,Vamos,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Vamos,2021-01-01
17,Love Never Dies,Lucida Fila,"gothic rock, deathrock, darkwave, post-punk",Et Vidi Lucem...,2020-08-06
18,Possessions,Dance Skeleton,"deathrock, post-punk, darkwave, horror punk, cold wave, gothic rock",Possessions,2020-06-05
19,Lebanese Garden,Prismatic Shapes,"post-punk, darkwave, cold wave, gothic rock, deathrock",Deadbeat,2020-04-03
20,Hollow Bodies,Casino Shanghai,"mexican rock, post-punk, cold wave, darkwave, synthpop",Film,1985-06-01
21,Magia Negra,Calaverx,"post-punk, darkwave, cold wave, deathrock, gothic rock",Magia Negra,2020-07-05
22,A.r.m.a.,ZODIAC ZODIAC,"cold wave, post-punk, darkwave",A.r.m.a.,2019-04-01
23,Folie a deux,Beatcrafted,"post-punk, cold wave, darkwave",Theories of Human Machine,2020-04-28
