#,Song,Artist,Genres,Album,Album Date
1,Vuelta en U,"Señor Kino, Ed Maverick","mexican indie, latin indie, latin folk",Vuelta en U,2022-04-01
2,Verde Pastel,Señor Kino,"mexican indie, latin indie",Limonada Rosa,2017-01-01
3,Elesdí,Señor Kino,"mexican indie, latin indie",Colores,2019-03-22
4,Down the Line,Beach Fossils,"dream pop, surf rock, shoegaze",Somersault,2017-06-02
5,Dræm Girl,No Vacation,"bedroom pop, dream pop",Summer Break Mixtape,2015-07-15
6,Hey Lover!,Wabie,bedroom pop,Cyclones and Hey Lover,2019-06-19
7,Freaks,Surf Curse,indie,Buds,2015-05-10
8,Sights and Sounds,Made In Japan,dream pop,Sights and Sounds,2012-02-17
9,Pairs,Made In Japan,dream pop,Sights and Sounds,2012-02-17
10,Adult Diversion,Alvvays,"dream pop, shoegaze, jangle pop, indie",Alvvays,2014-01-01
12,Dionysus,The Buttertones,surf rock,Buttertones,2014-01-22
13,Nu Suave,The Buttertones,surf rock,Buttertones,2014-01-22
16,Vacation,Beach Fossils,"dream pop, surf rock, shoegaze",Beach Fossils,2010-05-25
17,Disco,mitsume,"japanese indie, shibuya-kei, j-r&b, j-rock",eye,2012-01-01
18,Pretty Old Man,No Buses,japanese indie,Boys Missed The Bus,2019-04-15
19,Tic,No Buses,japanese indie,Tic,2018-05-05
20,Untouchable You,No Buses,japanese indie,Boys Loved Her,2019-09-11
21,Girl,No Buses,japanese indie,Boring Thing,2018-12-08
22,Ill Humor,No Buses,japanese indie,Boys Loved Her,2019-09-11
23,I'm With You,No Buses,japanese indie,I'm With You,2022-07-23
25,deixe-se acreditar,Mombojó,nova mpb,Nadadenovo,2004-05-23
28,Falso Realismo,Jambu,nova mpb,Falso Realismo,2021-04-23
29,Sin Tiempo,Ultra P,"mexican indie, latin indie",Sin Tiempo,2017-01-01
30,Todo Mal,"Ultra P, Películas Geniales","mexican indie, latin indie",Todo Mal,2021-08-19
31,¿Qué Nos Pasó?,DRIMS,"mexican indie, latin indie, latin alternative",¿Qué Nos Pasó?,2018-08-07
32,Ella Es Azul,Volován,"rock en español, mexican rock, mexican indie, latin alternative",Volovan,2018-08-03
33,Monitor,Volován,"rock en español, mexican rock, mexican indie, latin alternative",Monitor,2006-01-01
34,Fuera de Lugar,"Little Jesus, Girl Ultra","mexican indie, latin indie, latin alternative, latin r&b",Disco de Oro,2019-05-24
35,Quiero Verte,L3ON,"mexican indie, latin indie, latin alternative",Hoy,2018-08-10
36,La Noche,Fin del Mundo,"latin indie, shoegaze",Fin del Mundo,2020-04-03
38,Pista de Baile,Ultra P,"mexican indie, latin indie",Pista de Baile,2017-01-01
40,No Pude,Los Animales También Se Suicidan,"latin indie, mexican indie",Balneario,2019-04-12
41,Mi Droga Favorita,"Isla de Caras, Little Jesus","latin indie, latin alternative, mexican indie",Mi Droga Favorita,2023-06-09
43,Bombay,El Guincho,drill,Pop Negro,2010-09-13
44,Soca del Eclipse,El Guincho,drill,Pop Negro,2010-09-13
45,Inmigrante,Los Animales También Se Suicidan,"latin indie, mexican indie",Balneario,2019-04-12
46,Saturday Night,"HUNNY, Bleached","indie pop, riot grrrl, garage rock",Yes. Yes. Yes. Yes. Yes.,2019-07-19
47,Disco,Surf Curse,indie,Disco,2019-06-12
