#,Song,Artist,Genres,Album,Album Date
1,King For A Day,"Pierce The Veil, Kellin Quinn","emo, screamo, post-hardcore, pop punk",Collide With The Sky,2012-07-17
2,Bulls In The Bronx,Pierce The Veil,"emo, screamo, post-hardcore",Collide With The Sky,2012-07-17
3,Hard To Explain,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
4,Circles,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
5,Werewolf (feat. Bring Me The Horizon),"Lil Uzi Vert, Bring Me The Horizon","melodic rap, metalcore, emo, screamo, rock, post-hardcore",Pink Tape,2023-06-30
6,Reptilia,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
7,Nightcall,Kavinsky,"synthwave, french house",Nightcall,2010-01-01
9,Tren Al Sur,Los Prisioneros,"latin rock, rock en español",Coleccion Suprema,2007-01-01
12,Thin Flesh,TRAITRS,"darkwave, post-punk, cold wave, gothic rock, deathrock",Butcher's Coin,2018-05-18
13,Sextape,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",Diamond Eyes,2010-04-30
14,La Noche Mas Linda,Adalberto Santiago,salsa,Sex Symbol,1989-01-01
15,Is This It,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
16,Day Star,Modern Color,"shoegaze, midwest emo","Now, Life is Living You",2021-09-24
17,Perfecta,Miranda!,latin pop,El Templo del Pop,2008-04-01
18,Don,Miranda!,latin pop,El Templo del Pop,2008-04-01
19,Los Malaventurados No Lloran,PXNDX,"rock en español, mexican rock, latin rock",Amantes Sunt Amentes,2006-10-02
20,Rosa Pastel,Belanova,latin pop,Dulce Beat,2006-01-01
21,Cada Que...,Belanova,latin pop,Fantasía Pop,2007-01-01
22,Entombed,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",Koi No Yokan,2012-11-09
23,Rosemary,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",Koi No Yokan,2012-11-09
24,BLACKOUT,Turnstile,"hardcore punk, hardcore",GLOW ON,2021-08-27
25,What's My Age Again?,blink-182,"pop punk, punk, rock, skate punk, emo",Enema Of The State,1999-06-01
26,The Middle,Jimmy Eat World,"emo, pop punk",Bleed American,2001-07-17
27,Miss Murder,AFI,"punk, horror punk, emo, skate punk",DECEMBERUNDERGROUND,2006-06-06
29,Today I Saw The Whole World,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
30,Gold Medal Ribbon,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
31,Given Up,Linkin Park,"nu metal, rap metal, rock, alternative metal",Minutes to Midnight,2007-05-14
32,Drown,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
33,Follow You,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
34,True Friends,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
35,i apologise if you feel something,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",amo,2019-01-25
36,MANTRA,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",amo,2019-01-25
37,nihilist blues (feat. Grimes),"Bring Me The Horizon, Grimes","metalcore, emo, screamo, rock, post-hardcore, art pop",amo,2019-01-25
38,Still into You,Paramore,"pop punk, emo",Paramore,2013-04-05
39,Decode,Paramore,"pop punk, emo",Decode,2008-11-04
40,Misery Business,Paramore,"pop punk, emo",Riot!,2007-06-12
42,"Sugar, We're Goin Down",Fall Out Boy,"emo, pop punk",From Under The Cork Tree,2005-05-03
43,Cherry Waves,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",Saturday Night Wrist,2006-10-25
44,All I Wanted,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
45,All The Small Things,blink-182,"pop punk, punk, rock, skate punk, emo",Enema Of The State,1999-06-01
46,I Miss You,blink-182,"pop punk, punk, rock, skate punk, emo",blink-182,2003-01-01
47,1x1 (feat. Nova Twins),"Bring Me The Horizon, Nova Twins","metalcore, emo, screamo, rock, post-hardcore",POST HUMAN: SURVIVAL HORROR,2020-10-30
48,Rollin' (Air Raid Vehicle),Limp Bizkit,"nu metal, rap metal, alternative metal, rap rock",Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17
49,Kool-Aid,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",Kool-Aid,2024-01-05
50,Brick by Boring Brick,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
51,Lying from You,Linkin Park,"nu metal, rap metal, rock, alternative metal",Meteora (Bonus Edition),2003-03-25
52,LosT,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",LosT,2023-05-04
53,Careful,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
54,Ignorance,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
55,Kingslayer (feat. BABYMETAL),"Bring Me The Horizon, BABYMETAL","metalcore, emo, screamo, rock, post-hardcore, j-rock",POST HUMAN: SURVIVAL HORROR,2020-10-30
56,wonderful life (feat. Dani Filth),"Bring Me The Horizon, Dani Filth","metalcore, emo, screamo, rock, post-hardcore, gothic metal",amo,2019-01-25
