#,Song,Artist,Genres,Album,Album Date
1,Sabor a Mí,"Eydie Gormé, Los Panchos",bolero,Canta En Español Con Los Panchos,1964-01-01
2,Bésame Mucho,Los Panchos,bolero,Historia De Un Amor,1960-01-01
3,El reloj - Remastered,Los Panchos,bolero,"Directo al corazón, Vol. 2 (Remastered)",2014-07-07
4,Piel Canela,"Eydie Gormé, Los Panchos",bolero,Canta En Español Con Los Panchos,1964-01-01
5,Historia de un Amor,"Eydie Gormé, Los Panchos",bolero,Canta En Español Con Los Panchos,1964-01-01
6,Amarraditos,Maria Dolores Pradera,"bolero, trova, latin folklore, ranchera",Amarraditos,1967-06-14
7,La Flor de la Canela (with Joaquín Sabina),"Maria Dolores Pradera, Joaquín Sabina","bolero, trova, latin folklore, ranchera, singer-songwriter, nueva trova",La Colección Definitiva,2017-12-01
8,Nosotros,"Eydie Gormé, Los Panchos",bolero,Canta En Español Con Los Panchos,1964-01-01
9,En Mi Viejo San Juan (with Javier Solís),"Los Panchos, Javier Solís","bolero, ranchera, mariachi, música mexicana",Dos Idolos Cantando,1959-01-01
10,Rayito de Luna,Los Panchos,bolero,15 Exitos Inmortales,2016-08-20
11,Más Allá Del Sol,Manuel Bonilla,"christian, lullaby",Mas Allá Del Sol,2014-04-09
12,¿Qué Se Siente Que Me Gustes Tanto?,"Daniel, Me Estás Matando","bolero, mexican indie, latin indie",Suspiros,2019-05-09
