#,Song,Artist,Genres,Album,Album Date
1,Entre dos tierras,Heroes Del Silencio,"rock en español, latin rock, mexican rock, latin alternative",Senderos De Traición,1990-01-01
2,Amargo Adiós,Inspector,"ska, mexican ska, rock en español, mexican rock",Alma En Fuego,2002-07-30
3,Persiana Americana,Soda Stereo,"rock en español, latin rock, argentine rock, latin alternative",Originales - 20 Exitos,1983-01-01
4,Luz De Dia,Los Enanitos Verdes,"rock en español, latin rock, argentine rock, mexican rock, latin alternative",Nectar,1999-01-01
5,Oye Mi Amor,Maná,"rock en español, latin rock, mexican rock, latin pop",¿Dónde Jugarán Los Niños?,1992-01-01
6,A un minuto de ti,Mikel Erentxun,"rock en español, latin rock",Naufragios,1992-01-01
7,Tren Al Sur,Los Prisioneros,"latin rock, rock en español",Coleccion Suprema,2007-01-01
8,No Huyas De Mi,Kenny y los Eléctricos,"rock en español, mexican rock",Rock en Español 80's & 90's,2020-05-29
9,En algún lugar,Duncan Dhu,"rock en español, latin rock",El Grito Del Tiempo,1987-01-17
10,Lobo-hombre en París,La Unión,"rock en español, latin rock",Grandes Exitos,2000-06-30
11,Es Tan Fácil Romper un Corazón,Miguel Mateos - Zas,"rock en español, latin rock, argentine rock",Solos en América,1986-09-01
12,Voy a Buscar - Versión Sinfónico [En Vivo],Bon (Bon y Los Enemigos del Silencio),rock en español,Rock en Tu Idioma Sinfónico,2015-11-27
13,"No Hay Nada Eterno (feat. Leonardo de Lozanne) - Rock en Tu Idioma, Eléctrico","Humberto Calderón (Neón), Sergio Santacruz (Neón), Jorge Chiquis Amaro  Chix , Leonardo de Lozanne","rock en español, mexican rock","Rock En Tu Idioma, Eléctrico",2020-09-22
14,El Final,Rostros Ocultos,"rock en español, mexican rock",Singles,2017-02-10
15,Viento,Caifanes,"rock en español, mexican rock, latin rock, latin alternative",Caifanes,1988-05-15
16,El derramo su amor por ti,Oceano,rock en español,Conga Rock,1987-07-02
17,Cruz de Navajas,Mecano,"rock en español, latin pop",Entre el Cielo y el Suelo (Bonus Tracks Edition),1986-06-16
18,Crimen,Gustavo Cerati,"argentine rock, latin rock, rock en español, latin alternative",Ahí Vamos,2006-04-04
19,Es por Ti,Cómplices,"rock en español, latin rock",La Danza De La Ciudad,1990-05-03
20,Luna de Miel en la Mano,Virus,"latin rock, argentine rock, rock en español",Locura,1985-04-29
21,Afuera,Caifanes,"rock en español, mexican rock, latin rock, latin alternative",El Nervio Del Volcan,1994-01-01
22,Esta luz nunca se apagará - There Is a Light That Never Goes Out,Mikel Erentxun,"rock en español, latin rock",Naufragios,1992-01-01
23,Sólo Eres Tú,Caifanes,"rock en español, mexican rock, latin rock, latin alternative",Sólo Eres Tú,2022-02-10
24,De Música Ligera,Soda Stereo,"rock en español, latin rock, argentine rock, latin alternative",Originales - 20 Exitos,1983-01-01
