#,Song,Artist,Genres,Album,Album Date
1,The Middle,Jimmy Eat World,"emo, pop punk",Bleed American,2001-07-17
2,Miss Murder,AFI,"punk, horror punk, emo, skate punk",DECEMBERUNDERGROUND,2006-06-06
4,Circles,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
5,Today I Saw The Whole World,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
6,Gold Medal Ribbon,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
7,Given Up,Linkin Park,"nu metal, rap metal, rock, alternative metal",Minutes to Midnight,2007-05-14
8,Drown,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
9,Follow You,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
10,True Friends,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
11,i apologise if you feel something,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",amo,2019-01-25
12,MANTRA,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",amo,2019-01-25
13,nihilist blues (feat. Grimes),"Bring Me The Horizon, Grimes","metalcore, emo, screamo, rock, post-hardcore, art pop",amo,2019-01-25
14,Still into You,Paramore,"pop punk, emo",Paramore,2013-04-05
15,Decode,Paramore,"pop punk, emo",Decode,2008-11-04
16,Misery Business,Paramore,"pop punk, emo",Riot!,2007-06-12
17,What's My Age Again?,blink-182,"pop punk, punk, rock, skate punk, emo",Enema Of The State,1999-06-01
19,"Sugar, We're Goin Down",Fall Out Boy,"emo, pop punk",From Under The Cork Tree,2005-05-03
20,Cherry Waves,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",Saturday Night Wrist,2006-10-25
21,All I Wanted,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
22,All The Small Things,blink-182,"pop punk, punk, rock, skate punk, emo",Enema Of The State,1999-06-01
23,I Miss You,blink-182,"pop punk, punk, rock, skate punk, emo",blink-182,2003-01-01
24,1x1 (feat. Nova Twins),"Bring Me The Horizon, Nova Twins","metalcore, emo, screamo, rock, post-hardcore",POST HUMAN: SURVIVAL HORROR,2020-10-30
25,Kool-Aid,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",Kool-Aid,2024-01-05
26,King For A Day,"Pierce The Veil, Kellin Quinn","emo, screamo, post-hardcore, pop punk",Collide With The Sky,2012-07-17
27,Bulls In The Bronx,Pierce The Veil,"emo, screamo, post-hardcore",Collide With The Sky,2012-07-17
28,Brick by Boring Brick,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
29,LosT,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",LosT,2023-05-04
30,Careful,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
31,Ignorance,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
