#,Song,Artist,Genres,Album,Album Date
1,Money,The Drums,indie,Portamento,2011-09-06
2,No Buses,Arctic Monkeys,"indie, garage rock",Who The F*** Are Arctic Monkeys?,2006-05-09
5,Paint Me Silver,Pond,"neo-psychedelic, psychedelic rock",The Weather,2017-05-05
6,Chinatown,Jets To Brazil,"emo, midwest emo",Orange Rhyming Dictionary,1998-10-27
10,Beautiful World,When Chai Met Toast,"indian indie, hindi indie",Joy of Little Things,2017-01-26
15,Vivienne,Sundara Karma,indie,Youth is Only Ever Fun in Retrospect,2017-07-07
17,Greek Tragedy,The Wombats,indie,Glitterbug (Deluxe Edition),2015-04-14
24,What You Know,Two Door Cinema Club,indie,Tourist History,2010-02-07
25,Pink Lemonade,The Wombats,indie,Glitterbug (Deluxe Edition),2015-04-14
26,Run For Cover,The Killers,alternative rock,Wonderful Wonderful,2017-09-22
27,Changing Of The Seasons,Two Door Cinema Club,indie,Changing Of The Seasons,2013-01-01
29,Junk Of The Heart (Happy),The Kooks,"indie, indie rock",Junk Of The Heart,2011-01-01
30,Give Me a Try,The Wombats,indie,Glitterbug (Deluxe Edition),2015-04-14
31,Jesus of Suburbia,Green Day,"punk, pop punk",American Idiot,2004-09-21
33,Sun,Two Door Cinema Club,indie,Beacon (Deluxe Version),2012-01-01
34,Miss Atomic Bomb,The Killers,alternative rock,Battle Born (Deluxe Edition),2012-09-17
37,Vowels (And the Importance of Being Me),HUNNY,indie pop,Vowels (And the Importance of Being Me),2016-04-22
38,U Said,Lil Peep,"emo rap, cloud rap","Come Over When You're Sober, Pt. 1",2017-08-15
40,Hands I Can Hold,Ziggy Alberts,folk pop,Land & Sea,2014-12-11
41,Black Hole (Liar Liar),Never Shout Never,emo,Recycled Youth - Volume One,2015-03-03
42,Lemons,Woodlock,indie folk,Lemons,2013-03-23
44,A Maker of My Time,The Paper Kites,indie folk,Young North - EP,2013-03-05
49,Jane Doe,Never Shout Never,emo,What Is Love?,2010-01-01
50,Roll it on Home,John Mayer,singer-songwriter,The Search for Everything,2017-04-14
51,I'm Yours,Jason Mraz,"soft pop, acoustic pop",We Sing. We Dance. We Steal Things.,2008-05-12
53,Don't Blame Yourself,Human Kitten,"folk punk, anti-folk, queercore, midwest emo",I'm Afraid of Everything,2016-01-01
55,Mykonos,Fleet Foxes,"indie folk, folk, indie",Sun Giant,2008-02-28
56,93 Million Miles,Jason Mraz,"soft pop, acoustic pop",Love Is a Four Letter Word (Deluxe Edition),2012-04-13
57,Curbside Prophet,Jason Mraz,"soft pop, acoustic pop",Waiting for My Rocket to Come,2002-01-01
59,Trance-Like Getaway,Never Shout Never,emo,Recycled Youth - Volume One,2015-03-03
64,"Right Ahead, You Sailor!","Right Away, Great Captain!",folk punk,The Bitter End,2007-01-01
66,Rolling Clouds,Paul Baribeau,"folk punk, anti-folk",Unbearable,2010-01-01
68,Los Malaventurados No Lloran,PXNDX,"rock en español, mexican rock, latin rock",Amantes Sunt Amentes,2006-10-02
