#,Song,Artist,Genres,Album,Album Date
91,balada para el fin del mundo,Delfina Campos,latin indie,PELÍCULAS PERDIDAS,2024-08-02
93,Miku,"Anamanaguchi, Hatsune Miku",vocaloid,Miku,2016-05-24
94,Going Under,Evanescence,alternative metal,Fallen,2003-03-04
95,Luna de Miel en la Mano,Virus,"latin rock, argentine rock, rock en español",Locura,1985-04-29
96,Everlong,Foo Fighters,"rock, post-grunge, alternative rock, grunge",The Colour And The Shape,1997-05-20
97,Es por Ti,Cómplices,"rock en español, latin rock",La Danza De La Ciudad,1990-05-03
108,STONE OCEAN - English Ver.,ichigo from 岸田教団&THE明星ロケッツ,anime,STONE OCEAN,2021-12-01
111,No You Girls,Franz Ferdinand,indie rock,Tonight,2009-01-27
112,Azul,Little Jesus,"mexican indie, latin indie, latin alternative",Norte,2013-12-03
113,Químicos,Little Jesus,"mexican indie, latin indie, latin alternative",Norte,2013-12-03
114,La Magia,Little Jesus,"mexican indie, latin indie, latin alternative",Río Salvaje,2016-06-17
115,"Los Ángeles, California",Little Jesus,"mexican indie, latin indie, latin alternative",Disco de Oro,2019-05-24
116,Jodellavitanonhocapitouncazzo,Caparezza,italian singer-songwriter,Verità Supposte,2003-01-01
120,Running Up That Hill (A Deal With God),Kate Bush,"art pop, baroque pop, art rock",Hounds Of Love,1985-09-16
121,Running Up That Hill,Placebo,britpop,Covers,2003-03-24
123,No Geography,The Chemical Brothers,"big beat, alternative dance, electronic, breakbeat",No Geography,2019-04-12
124,Laura non c'è,Nek,"italo dance, rock en español, latin pop","Lei, gli amici e tutto il resto",1996-01-01
126,Nagano,"CLUBZ, Ela Minus","latin indie, mexican indie, latin alternative, electropop",Destellos,2019-01-25
127,Autoreggente,"Bambole Di Pezza, Kate Klein",riot grrrl,DIRTY (Deluxe),2023-11-17
132,Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams","edm, art pop",Clarity (Deluxe),2012-01-01
133,Von dutch,Charli xcx,"hyperpop, art pop",BRAT,2024-06-07
134,Talk talk,Charli xcx,"hyperpop, art pop",BRAT,2024-06-07
135,Sympathy is a knife,Charli xcx,"hyperpop, art pop",BRAT,2024-06-07
136,Kaitlyn,"Eric Dangerfield, The Paradox",pop punk,Kaitlyn,2024-07-03
137,Mykonos,Fleet Foxes,"indie folk, folk, indie",First Collection 2006-2009,2018-11-09
138,Kool Thing,Sonic Youth,"noise rock, grunge, alternative rock, post-punk, shoegaze",Goo,1990-01-01
139,Greed,Freddie Dredd,phonk,Greed,2022-06-30
140,Disco,Surf Curse,indie,Disco,2019-06-12
141,Persiana Americana,Soda Stereo,"rock en español, latin rock, argentine rock, latin alternative",Originales - 20 Exitos,1983-01-01
144,Gilding the Lily,HUNNY,indie pop,Windows I,2017-05-26
145,Coral Crown,"Darren Korb, Erin Yvette, Ashley Barrett, Judy Alice Lee",soundtrack,Coral Crown,2024-05-08
146,Saturday Night,"HUNNY, Bleached","indie pop, riot grrrl, garage rock",Yes. Yes. Yes. Yes. Yes.,2019-07-19
147,Tren Al Sur,Los Prisioneros,"latin rock, rock en español",Coleccion Suprema,2007-01-01
148,Careful,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
149,Vowels (and the Importance of Being Me),HUNNY,indie pop,Vowels (and the Importance of Being Me),2016-04-08
151,"Better Off (Alone, Pt. III)","Alan Walker, Dash Berlin, Vikkstar","trance, big room","Better Off (Alone, Pt. III)",2023-09-28
155,Here Comes Your Man,Pixies,alternative rock,Doolittle,1989-04-17
156,Lying from You,Linkin Park,"nu metal, rap metal, rock, alternative metal",Meteora (Bonus Edition),2003-03-25
157,Faint,Linkin Park,"nu metal, rap metal, rock, alternative metal",Meteora,2003-03-25
158,Numb,Linkin Park,"nu metal, rap metal, rock, alternative metal",Meteora,2003-03-25
159,In the End,Linkin Park,"nu metal, rap metal, rock, alternative metal",Hybrid Theory (Bonus Edition),2000-10-24
162,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]","100 gecs, Charli xcx, Rico Nasty, Kero Kero Bonito","hyperpop, glitch, art pop",1000 gecs and The Tree of Clues,2020-07-10
163,LosT,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",LosT,2023-05-04
164,Go With The Flow,Queens of the Stone Age,"stoner rock, alternative rock",Songs For The Deaf,2002-01-01
165,No One Knows,Queens of the Stone Age,"stoner rock, alternative rock",Songs For The Deaf,2002-01-01
166,Mr. Brightside,The Killers,alternative rock,Hot Fuss,2004-01-01
167,Kids,MGMT,indie,Oracular Spectacular,2007-12-14
169,weapon,Against The Current,pop punk,fever,2021-07-23
171,Kaboom,Naeleck,electro house,Christmas Kaboom,2022-11-25
172,Roller Mobster,Carpenter Brut,"synthwave, darkwave",Trilogy,2015-01-19
175,I Wanna Go,Britney Spears,pop,Femme Fatale (Deluxe Version),2011-03-28
176,One Last Time,Ariana Grande,pop,My Everything (Deluxe),2014-08-22
177,Drown,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
178,Follow You,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
179,Kool-Aid,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",Kool-Aid,2024-01-05
181,Burning Love,Elvis Presley,"rockabilly, rock and roll",The Best of The '68 Comeback Special (Live),2019-02-15
182,Somebody to Love,Jefferson Airplane,"psychedelic rock, acid rock",Surrealistic Pillow,1967-01-01
184,Vanilka,"Transglobal Underground, Tim Whelan, Hamilton Lee, Gurjit Sihra, Sheema Mukherjee, Hamid Mantu",big beat,Impossible Broadcasting,2004-01-01
186,Starlight,Muse,"alternative rock, rock",Black Holes and Revelations,2006-06-28
187,King Kunta,Kendrick Lamar,"hip hop, west coast hip hop",To Pimp A Butterfly,2015-03-16
188,Chala Head Chala,Ricardo Silva,anime,Canciones de los Personajes de Dragon Ball,2019-08-23
189,All The Small Things,blink-182,"pop punk, punk, rock, skate punk, emo",Enema Of The State,1999-06-01
190,I Miss You,blink-182,"pop punk, punk, rock, skate punk, emo",blink-182,2003-01-01
191,All I Wanted,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
192,What's My Age Again?,blink-182,"pop punk, punk, rock, skate punk, emo",Enema Of The State,1999-06-01
193,"KOMM, SUSSER TOD - M-10 Director's Edit Version",Arianne,anime,Evangelion Finally,2020-12-04
196,Sail,Mareux,"darkwave, cold wave",Decade,2013-07-07
197,Cherry Waves,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",Saturday Night Wrist,2006-10-25
198,Is It Really You?,Loathe,shoegaze,I Let It in and It Took Everything,2020-02-07
200,Connections,Blind Seagull,"post-punk, cold wave, darkwave, gothic rock, deathrock",Pressure,2018-02-18
201,Iris,TR/ST,"darkwave, cold wave, witch house, synthpop, post-punk, ebm, electroclash",The Destroyer - 2,2019-11-01
202,Mil Veces Maldito,Déjenme Dormir,latin indie,Mil Veces Maldito,2021-05-28
203,Inmigrante,Los Animales También Se Suicidan,"latin indie, mexican indie",Balneario,2019-04-12
204,Peligro,Reik,latin pop,Peligro,2012-06-22
206,Kingslayer (feat. BABYMETAL),"Bring Me The Horizon, BABYMETAL","metalcore, emo, screamo, rock, post-hardcore, j-rock",POST HUMAN: SURVIVAL HORROR,2020-10-30
207,Parasite Eve,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",POST HUMAN: SURVIVAL HORROR,2020-10-30
208,Teardrops,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",POST HUMAN: SURVIVAL HORROR,2020-10-30
209,1x1 (feat. Nova Twins),"Bring Me The Horizon, Nova Twins","metalcore, emo, screamo, rock, post-hardcore",POST HUMAN: SURVIVAL HORROR,2020-10-30
210,Still into You,Paramore,"pop punk, emo",Paramore,2013-04-05
211,wonderful life (feat. Dani Filth),"Bring Me The Horizon, Dani Filth","metalcore, emo, screamo, rock, post-hardcore, gothic metal",amo,2019-01-25
212,MANTRA,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",amo,2019-01-25
213,i apologise if you feel something,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",amo,2019-01-25
214,"Te Quiero Tanto, Tanto",Onda Vaselina,"latin pop, retro pop",Entrega Total,1998-01-01
215,True Friends,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore",That's The Spirit,2015-09-11
216,Nuestra Canción,"Monsieur Periné, Vicente Garcia","colombian pop, latin alternative, latin indie, spanish-language reggae, bachata",Caja de Música,2015-06-16
217,Given Up,Linkin Park,"nu metal, rap metal, rock, alternative metal",Minutes to Midnight,2007-05-14
218,nihilist blues (feat. Grimes),"Bring Me The Horizon, Grimes","metalcore, emo, screamo, rock, post-hardcore, art pop",amo,2019-01-25
219,Darts,System Of A Down,"nu metal, metal, alternative metal, rap metal, rock",System Of A Down (Deluxe Version),1998-01-01
220,Gold Medal Ribbon,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
221,Today I Saw The Whole World,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
222,Circles,Pierce The Veil,"emo, screamo, post-hardcore",Misadventures,2016-05-13
223,La Noche Mas Linda,Adalberto Santiago,salsa,Sex Symbol,1989-01-01
224,Werewolf (feat. Bring Me The Horizon),"Lil Uzi Vert, Bring Me The Horizon","melodic rap, metalcore, emo, screamo, rock, post-hardcore",Pink Tape,2023-06-30
225,Bulls In The Bronx,Pierce The Veil,"emo, screamo, post-hardcore",Collide With The Sky,2012-07-17
226,Oye Mi Amor,Maná,"rock en español, latin rock, mexican rock, latin pop",¿Dónde Jugarán Los Niños?,1992-01-01
227,Me and the Birds,Duster,"slowcore, shoegaze",Contemporary Movement,2000-08-22
228,Ella es Bonita,Natalia Lafourcade,"latin folk, bolero, latin indie, latin alternative, latin folklore",HU HU HU,2009-01-01
229,Perfecta,Miranda!,latin pop,El Templo del Pop,2008-04-01
230,Perfecta (Versión 2023),"Miranda!, Maria Becerra, FMK","latin pop, argentine trap",Hotel Miranda!,2023-04-19
231,Don,Miranda!,latin pop,El Templo del Pop,2008-04-01
232,Hasta Que Me Olvides,Luis Miguel,"mariachi, bolero, latin pop, ranchera, villancicos",Aries,1993-01-01
233,after dark x sweater weather,"daddy's girl, creamy, 11:11 Music Group",lo-fi,after dark x sweater weather (slowed + reverb),2022-07-07
234,Dark Angel,Provoker,"darkwave, lo-fi indie, post-punk, cold wave",Dark Angel,2018-05-14
236,Ariel,Tripulación de Osos,latin indie,Un futuro mejor,2021-08-27
237,The Perfect Girl - The Motion Retrowave Remix,"Mareux, The Motion","darkwave, cold wave, synthwave",The Perfect Girl (The Motion Retrowave Remix),2022-05-16
238,Night Work,Sione,nightcore,Night Work,2022-11-18
239,Myth,Beach House,dream pop,Bloom,2012-05-15
240,Middle of Nowhere,Hot Hot Heat,garage rock,Elevator,2005-03-30
242,Como La Flor,Selena,"tejano, cumbia, música mexicana",Entre A Mi Mundo,1992-01-01
243,Around the World (La La La La La),"A Touch Of Class, Pete Konemann","europop, eurodance",Planet Pop,2000-11-06
244,Everytime We Touch,Cascada,"europop, eurodance",Everytime We Touch (Premium Edition),2010-02-12
246,HOLIDAY,Turnstile,"hardcore punk, hardcore",GLOW ON,2021-08-27
247,BLACKOUT,Turnstile,"hardcore punk, hardcore",GLOW ON,2021-08-27
248,Mi Droga Favorita,"Isla de Caras, Little Jesus","latin indie, latin alternative, mexican indie",Mi Droga Favorita,2023-06-09
249,Sabes,Reik,latin pop,Secuencia,2006-11-14
250,Para Siempre,Vicente Fernández,"ranchera, mariachi, música mexicana, norteño, bolero, banda",Vicente Fernandez Para Siempre,2007-08-26
251,Rosa Pastel,Belanova,latin pop,Dulce Beat,2006-01-01
252,7,Turnstile,"hardcore punk, hardcore",Step to Rhythm,2013-04-02
254,Se Fue - Con Ximena Sariñana y Elsa y Elmar,"Little Jesus, Ximena Sariñana, Elsa y Elmar","mexican indie, latin indie, latin alternative",Se Fue (Con Ximena Sariñana y Elsa y Elmar),2021-02-26
257,You Could Have It So Much Better,Franz Ferdinand,indie rock,You Could Have It So Much Better,2005-10-03
258,This Boy,Franz Ferdinand,indie rock,You Could Have It So Much Better,2005-10-03
259,This Fire,Franz Ferdinand,indie rock,Franz Ferdinand,2004-02-16
260,Jacqueline,Franz Ferdinand,indie rock,Franz Ferdinand,2004-02-16
262,Time for Heroes,The Libertines,"britpop, garage rock, indie",Up the Bracket,2002-10-14
263,Can't Stand Me Now,The Libertines,"britpop, garage rock, indie",The Libertines,2004-08-30
264,1901,Phoenix,indie,Wolfgang Amadeus Phoenix,2009-05-25
265,Green Utopia,The Vines,garage rock,Wicked Nature,2014-08-29
266,Get Free,The Vines,garage rock,Highly Evolved,2002-01-01
267,Highly Evolved,The Vines,garage rock,Highly Evolved,2002-01-01
268,Take Me Out,Franz Ferdinand,indie rock,Franz Ferdinand,2004-02-16
269,Hate To Say I Told You So,The Hives,garage rock,Veni Vidi Vicious,2000-01-01
273,The Wretched,Nine Inch Nails,"industrial rock, industrial, industrial metal, alternative metal, nu metal",The Fragile,1999-09-21
276,Warned You,Good Morning,"lo-fi indie, bedroom pop",Shawcross,2014-11-14
277,Do You Want To,Franz Ferdinand,indie rock,You Could Have It So Much Better,2005-10-03
278,Volver A Comenzar,Café Tacvba,"rock en español, mexican rock, latin rock, latin alternative, ska",SINO,2007-01-01
279,Eres,Café Tacvba,"rock en español, mexican rock, latin rock, latin alternative, ska",Cuatro Caminos,2003-07-01
280,Las flores,Café Tacvba,"rock en español, mexican rock, latin rock, latin alternative, ska",Re,1994-07-20
281,No Dejes Que...,Caifanes,"rock en español, mexican rock, latin rock, latin alternative",El Silencio,1992-06-08
282,Cumbia Sobre El Rio,"Blanquito Man, Control Machete, Celso Piña","cumbia, cumbia sonidera, electrocumbia, mexican hip hop, rock en español, latin hip hop, mexican rock, latin alternative",Babel - Music From And Inspired By The Motion Picture,2006-01-01
283,Freaks,Surf Curse,indie,Freaks,2021-05-15
285,Do You Realize??,The Flaming Lips,neo-psychedelic,Yoshimi Battles the Pink Robots,2002-05-13
288,Future Lover,Thee Sacred Souls,retro soul,Thee Sacred Souls,2022-08-26
289,Remolino Penal,Tripulación de Osos,latin indie,Reales Tamarindos,2018-04-27
290,Un Espejo,Tripulación de Osos,latin indie,Robormiga,2015-05-31
291,Robormiga,Tripulación de Osos,latin indie,Robormiga,2015-05-31
292,LAST TRAIN,"DJ AKi, YELLOCK, takeo","drum and bass, lo-fi hip hop, lo-fi, lo-fi beats",THE EDGES BETWEEN THE LINE,2022-07-01
293,day care,takeo,"lo-fi hip hop, lo-fi, lo-fi beats",Moving Colors,2023-04-07
296,Freaking Out the Neighborhood,Mac DeMarco,"indie, lo-fi indie",2,2012-10-16
297,"Sea, Swallow Me","Cocteau Twins, Harold Budd","dream pop, shoegaze, gothic rock, ambient, minimalism, drone",The Moon and the Melodies,1986-11-10
299,Little Girl,Death From Above 1979,garage rock,"You're A Woman, I'm A Machine",2004-09-28
300,Red Red Wine,UB40,reggae,The Very Best Of,2000-01-01
301,Time to Pretend,MGMT,indie,Oracular Spectacular,2007-12-14
302,Where's My Mind,Deko,hyperpop,"Moonkid Mondays, Vol. 1",2020-01-01
303,Cyberkids 777,"Yameii Online, Deko","hyperpop, glitch",Cyberspace,2020-04-07
304,Irrelevant,"Deko, Yameii Online","hyperpop, glitch",Nu Radio!,2021-11-23
305,Take Wrisks,"Yameii Online, Deko","hyperpop, glitch",Cyberspace,2020-04-07
306,synesthesia!,"Deko, Yameii Online","hyperpop, glitch",Nu Radio!,2021-11-23
307,Lean Beef Patty,"JPEGMAFIA, Danny Brown","experimental hip hop, alternative hip hop, experimental",SCARING THE HOES,2023-03-24
308,dumb party,Internet Girl,hyperpop,the world i love,2021-06-11
309,"Archie, Marry Me",Alvvays,"dream pop, shoegaze, jangle pop, indie",Alvvays,2014-07-22
310,Billy Knows Jamie,100 gecs,"hyperpop, glitch","10,000 gecs",2023-03-17
311,Doritos & Fritos,100 gecs,"hyperpop, glitch","10,000 gecs",2023-03-17
312,Hollywood Baby,100 gecs,"hyperpop, glitch","10,000 gecs",2023-03-17
314,D'arcy,No Somos Marineros,"math rock, mexican indie, mexican rock, shoegaze, midwest emo",D'arcy,2017-12-29
315,Die For You - Remix,"The Weeknd, Ariana Grande",pop,Die For You (Remix),2023-02-24
316,Demoliendo Hoteles,Charly García,"argentine rock, latin rock, rock en español",Piano Bar,1984-01-01
317,Call me,90sFlav,"lo-fi, lo-fi beats",Collection,2018-02-09
320,L$D,A$AP Rocky,rap,AT.LONG.LAST.A$AP,2015-05-26
321,Diosito,Sgt. Papers,"mexican indie, egg punk, latin indie",Diosito,2022-07-20
322,Judas Effect,Vestron Vulture,"darkwave, post-punk, cold wave, synthwave, witch house",Lionheart,2020-10-10
323,Wind Below,Rage Against The Machine,"rap metal, rap rock, alternative metal, nu metal",Evil Empire,1996-04-16
324,People of the Sun,Rage Against The Machine,"rap metal, rap rock, alternative metal, nu metal",Evil Empire,1996-04-16
325,fckfckfck,3l3d3p,"hyperpop, breakcore, glitch",fckfckfck,2021-05-31
328,Hell Hotline,Tempers,"darkwave, cold wave, post-punk",Services,2015-10-23
329,Gallowdance,Lebanon Hanover,"darkwave, cold wave, post-punk, gothic rock, deathrock",Tomb for Two,2013-10-10
330,"Dead, Again",Jadu Heart,indie soul,Hyper Romance,2020-09-25
331,Distantes,Technicolor Fabrics,"mexican indie, latin indie, latin alternative",Presente,2019-05-31
332,"New York, I Love You but You're Bringing Me Down",LCD Soundsystem,"alternative dance, new rave",Sound of Silver,2007-03-12
333,She Bangs the Drums,The Stone Roses,"madchester, britpop",She Bangs The Drum,1989-10-01
334,Radio Song,Superbus,"variété française, french pop",Pop'n'Gum,2005-01-01
335,Putting Holes In Happiness,Marilyn Manson,"industrial metal, industrial rock, industrial, metal, nu metal","EAT ME, DRINK ME (International Version)",2007-01-01
337,Bulls On Parade,Rage Against The Machine,"rap metal, rap rock, alternative metal, nu metal",Evil Empire,1996-04-16
338,F.C.P.R.E.M.I.X.,The Fall of Troy,"post-hardcore, mathcore, math rock, screamo",Doppelganger,2005-01-01
340,Through the Fire and Flames,DragonForce,"power metal, speed metal, metal, symphonic metal",Inhuman Rampage,2006-05-23
341,You Shook Me All Night Long,AC/DC,"rock, hard rock, classic rock, rock and roll",Back In Black,1980-07-25
342,Thunderstruck,AC/DC,"rock, hard rock, classic rock, rock and roll",The Razors Edge,1990-09-24
344,School's Out,Alice Cooper,"glam rock, hard rock, glam metal, proto-punk, classic rock",School's Out,1972-01-01
345,Slow Ride,Foghat,"classic rock, southern rock",Fool for the City,1975-01-01
346,Sweet Child O' Mine,Guns N' Roses,"rock, glam metal, hard rock, classic rock",Appetite For Destruction,1987-07-21
347,Barracuda,Heart,"classic rock, aor, rock",Little Queen,1977-05-14
348,Welcome To The Jungle,Guns N' Roses,"rock, glam metal, hard rock, classic rock",Appetite For Destruction,1987-07-21
349,Ruby,Kaiser Chiefs,britpop,"Yours Truly, Angry Mob",2007-01-01
350,Mississippi Queen,Mountain,"classic rock, southern rock, blues rock",Climbing!,1970-01-01
351,Hit Me With Your Best Shot,Pat Benatar,aor,Crimes Of Passion,1980-08-05
352,Seven Nation Army,The White Stripes,"garage rock, blues rock, rock, alternative rock",Elephant,2003-04-01
353,Paradise City,Guns N' Roses,"rock, glam metal, hard rock, classic rock",Appetite For Destruction,1987-07-21
354,Miss Murder,AFI,"punk, horror punk, emo, skate punk",DECEMBERUNDERGROUND,2006-06-06
355,Don't Hold Back,The Sleeping,post-hardcore,Questions And Answers,2006-01-01
356,Can't Be Saved,Senses Fail,"post-hardcore, screamo, emo, pop punk",Can't Be Saved,2007-02-25
357,Prayer Of The Refugee,Rise Against,"punk, hardcore punk",The Sufferer & The Witness [International Version (Explicit)],2006-06-30
358,Generation Rock,Revolverheld,german pop,Revolverheld,2005-09-23
