#,Song,Artist,Genres,Album,Album Date
2,I ONLY WANT TO BE WITH YOU,Tommy february6,"shibuya-kei, j-pop",L･O･V･E･L･Y ～夢見るLOVELY BOY～,2004-07-14
3,What happened to us,Morning Rain,"post-punk, cold wave, darkwave",Love Rain,2021-02-11
4,Love rain,Morning Rain,"post-punk, cold wave, darkwave",Love Rain,2021-02-11
5,Tarde,Siddhartha,"mexican indie, latin indie, latin alternative, rock en español",Únicos,2016-09-23
6,My Violent Heart,Nine Inch Nails,"industrial rock, industrial, industrial metal, alternative metal, nu metal",Year Zero,2007-04-17
7,The Good Soldier,Nine Inch Nails,"industrial rock, industrial, industrial metal, alternative metal, nu metal",Year Zero,2007-04-17
8,Vessel,Nine Inch Nails,"industrial rock, industrial, industrial metal, alternative metal, nu metal",Year Zero,2007-04-17
9,"Me, I'm Not",Nine Inch Nails,"industrial rock, industrial, industrial metal, alternative metal, nu metal",Year Zero,2007-04-17
10,Narc,Interpol,"indie rock, post-punk",Antics,2004-09-27
11,モノクローム,Naoko Gushima,"city pop, j-r&b, shibuya-kei",miss. G,1996-06-05
12,Yo Voy - Post-Punk Version,Depresión Post-Mortem,"post-punk, darkwave",Yo Voy (Post-Punk Version),2021-04-10
13,De Música Ligera,Soda Stereo,"rock en español, latin rock, argentine rock, latin alternative",Originales - 20 Exitos,1983-01-01
14,八方來財(Stacks from All Sides),攬佬SKAI ISYOURGOD,chinese hip hop,八方來財(Stacks from All Sides),2024-08-20
15,大展鴻圖(Blueprint Supreme),"攬佬SKAI ISYOURGOD, AR刘夫阳",chinese hip hop,八方來財(Stacks from All Sides),2024-08-20
16,Undercover Martyn,Two Door Cinema Club,indie,Tourist History,2010-02-17
17,Rest My Chemistry,Interpol,"indie rock, post-punk",Our Love To Admire,2007-07-10
18,Fall On,Adamn Killa,cloud rap,Generational Run,2025-06-20
19,Even Flow,Pearl Jam,"grunge, rock, post-grunge",Ten,1991-08-27
20,What Once Was,Her's,indie,Songs of Her's,2017-05-12
21,Who Wants To Live Forever?,"Nine Inch Nails, Judeline","industrial rock, industrial, industrial metal, alternative metal, nu metal",TRON: Ares (Original Motion Picture Soundtrack),2025-09-19
22,Covet,Basement,"midwest emo, shoegaze, pop punk",Colourmeinkindness,2012-10-23
25,Flames,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",Flames,2019-02-21
26,10 A.M.,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Programaton,2013-01-01
27,New Year's Day,U2,rock,The Best Of 1980 - 1990,1998-11-02
28,Náufrago,Siddhartha,"mexican indie, latin indie, latin alternative, rock en español",Náufrago,2011-04-05
29,Alexander,Rey Pila,"mexican indie, latin indie, mexican rock, latin alternative",The Future Sugar (Track by Track Commentary),2015-07-16
30,Ven Porque Te Necesito,Los Temerarios,"grupera, ranchera",Internacionales Y Románticos,1989-01-01
32,Rosa Pastel,Belanova,latin pop,Gran Disco Mini Precio - Dulce Beat,2005-01-01
33,Rosas,La Oreja de Van Gogh,latin pop,París,2004-05-10
34,おつかれSUMMER,HALCALI,shibuya-kei,ハルカリベーコン,2003-09-03
35,Contraluz,Vigilante,"mexican indie, mexican rock, latin indie",Vigilante,2019-02-08
36,暁のコドウ,UNCHAIN,"japanese indie, city pop, j-rock",Eat The Moon,2012-12-05
37,Loretta,Ginger Root,city pop,Loretta,2021-06-16
38,party 4 u,Charli xcx,"hyperpop, art pop",how i'm feeling now,2020-05-15
39,No I In Threesome,Interpol,"indie rock, post-punk",Our Love To Admire,2007-07-10
40,El Entierro,Candy,"mexican indie, mexican rock, latin indie, rock en español, latin alternative",Control,2012-01-31
41,Inmune,Waterfalls,"post-punk, cold wave",Inmune,2018-11-19
42,Ecstasy,Soviet Soviet,"post-punk, cold wave, darkwave, gothic rock, deathrock",Fate,2013-11-11
43,Cada Que...,Belanova,latin pop,Fantasía Pop,2007-01-01
44,Tokyo Fantasy,Alessandra M,city pop,Tokyo Fantasy,1982-03-12
45,Ci dicevano,"Cara Calma, Bologna Violenta","free jazz, grindcore, mathcore, noise rock",Sulle punte per sembrare grandi,2018-01-19
46,Mi Mochila Huele a Ti,Mi Mochila Huele A Semen,shoegaze,Ese Hijo de Puta Se Mete Vidrio,2022-09-01
47,Ese Hijo de Puta Se Mete Vidrio,Mi Mochila Huele A Semen,shoegaze,Ese Hijo de Puta Se Mete Vidrio,2022-09-01
48,Libertà,Bambole Di Pezza,riot grrrl,DIRTY,2023-07-06
49,Successo,Giorgieness,italian singer-songwriter,Mostri,2021-10-28
55,Sábado Perpetuo,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Proaño,2014-10-14
56,Vía Láctea,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Memo Rex Commander y el Corazón Atómico de la Vía Láctea,2006-07-12
57,Desesperado,José José,"bolero, bacardi",El Príncipe de la Canción,2017-06-23
59,屍を越えてゆけ,AAAMYYY,"japanese indie, j-r&b",BODY,2019-02-06
60,Por Esta Razón,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",Proaño,2014-10-14
61,No Me Destruyas,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Memo Rex Commander y el Corazón Atómico de la Vía Láctea,2006-07-12
62,Ghost,Motorama,"post-punk, cold wave, darkwave",Alps,2010-01-12
63,smile again,Advantage Lucy,"shibuya-kei, jangle pop, japanese indie, j-rock",ファンファーレ,1999-05-12
65,Are You The One,Basement,"midwest emo, shoegaze, pop punk",Be Here Now / Are You The One,2019-04-26
66,Your face,Wisp,shoegaze,Pandora,2024-04-05
67,Impacto,"Enjambre, Denise Gutiérrez","mexican indie, rock en español, mexican rock, latin indie, latin rock, bolero, latin alternative",El Segundo Es Felino,2008-01-01
68,我が心のピンボール,Eiichi Ohtaki,"city pop, kayokyoku, j-pop, enka, shibuya-kei",A LONG VACATION,2021-03-21
69,Sólo Eres Tú,Caifanes,"rock en español, mexican rock, latin rock, latin alternative",Sólo Eres Tú,2022-02-10
70,NAN CHUN,SE SO NEON,"k-rock, japanese indie",NAN CHUN,2020-05-10
71,悲しみがとまらない　I CAN'T STOP THE LONELINESS,Anri,"city pop, j-pop, kayokyoku",Timely!!,1983-12-05
72,Plastic Love,Mariya Takeuchi,"city pop, kayokyoku, j-pop",Expressions,2008-05-21
73,Yo no te pido la luna (Non voglio mica la luna),Daniela Romo,villancicos,Amor prohibido,1984-05-18
74,Mentiras,Daniela Romo,villancicos,30 Exitos Insuperables,2003-01-01
75,Almeno tu nell'universo,Mia Martini,"italian singer-songwriter, singer-songwriter",Martini Mia...,2011-07-08
76,Mi Sono Innamorato Di Te,Luigi Tenco,"italian singer-songwriter, singer-songwriter",Parole per Angela,1959-04-14
77,Io che amo solo te,Sergio Endrigo,"italian singer-songwriter, singer-songwriter",Sergio Endrigo (1962),1962-01-01
79,Another Boy,Provoker,"darkwave, lo-fi indie, post-punk, cold wave",Another Boy,2025-03-11
80,Ignorance,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
81,Brick by Boring Brick,Paramore,"pop punk, emo",Brand New Eyes,2009-09-25
82,Good Bye Boogie Dance,Anri,"city pop, j-pop, kayokyoku",Bi・Ki・Ni,1983-06-05
83,Clarity,"Zedd, Foxes",edm,Clarity,2012-01-01
84,Stay All Summer,Momma,indie rock,Welcome to My Blue Sky,2025-04-04
85,Back To Me,The Marías,bedroom pop,Back To Me,2025-04-04
86,Gotas de Fuego,José José,"bolero, bacardi",Reencuentro,1977-05-07
87,Todos los gatos son pardos,La Unión,"rock en español, latin rock",Mil Siluetas,1984-10-15
88,Esta luz nunca se apagará - There Is a Light That Never Goes Out,Mikel Erentxun,"rock en español, latin rock",Naufragios,1992-01-01
