#,Song,Artist,Genres,Album,Album Date
1,Another One Bites The Dust - Remastered 2011,Queen,"classic rock, rock, glam rock",The Game (Deluxe Remastered Version),1980-06-27
2,Bohemian Rhapsody - Remastered 2011,Queen,"classic rock, rock, glam rock",A Night At The Opera (Deluxe Remastered Version),1975-11-21
3,Don't Stop Me Now - Remastered 2011,Queen,"classic rock, rock, glam rock",Jazz (Deluxe Remastered Version),1978-11-10
4,We Will Rock You - Remastered 2011,Queen,"classic rock, rock, glam rock",News Of The World (Deluxe Remastered Version),1977-10-28
5,Somebody To Love - Remastered 2011,Queen,"classic rock, rock, glam rock",A Day At The Races (Deluxe Remastered Version),1976-12-10
6,Bicycle Race,Queen,"classic rock, rock, glam rock",Jazz,1978-11-10
7,"Another Brick in the Wall, Pt. 1",Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",The Wall,1979-11-30
8,"Another Brick in the Wall, Pt. 2",Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",The Wall,1979-11-30
9,"Another Brick in the Wall, Pt. 3",Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",The Wall,1979-11-30
10,Hey Jude,The Beatles,"classic rock, psychedelic rock",Love,2006-11-17
11,Roundabout - 2003 Remaster,Yes,"progressive rock, art rock, aor",Fragile (Deluxe Edition),1971-11-26
12,Killer Queen - Remastered 2011,Queen,"classic rock, rock, glam rock",Sheer Heart Attack (Deluxe Remastered Version),1974-11-08
13,Stairway to Heaven - Remaster,Led Zeppelin,"classic rock, rock, hard rock, rock and roll",Led Zeppelin IV (Deluxe Edition),1971-11-08
14,Comfortably Numb,Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",The Wall,1979-11-30
15,Back In Black,AC/DC,"rock, hard rock, classic rock, rock and roll",Back In Black,1980-07-25
16,Knockin' On Heaven's Door,Guns N' Roses,"rock, glam metal, hard rock, classic rock",Use Your Illusion II,1991-09-18
17,Dream On,Aerosmith,"classic rock, rock",Aerosmith,1973-01-05
18,Highway to Hell,AC/DC,"rock, hard rock, classic rock, rock and roll",Highway to Hell,1979-07-27
19,(I Can't Get No) Satisfaction - Mono,The Rolling Stones,"classic rock, rock",Out Of Our Heads,1965-07-30
20,Black Smoke Rising,Greta Van Fleet,rock,From The Fires,2017-11-10
21,Good Times Bad Times - 1993 Remaster,Led Zeppelin,"classic rock, rock, hard rock, rock and roll",Led Zeppelin,1969-01-12
22,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,"classic rock, rock",Beggars Banquet (50th Anniversary Edition),1968-12-06
23,Blitzkrieg Bop - 2016 Remaster,Ramones,"punk, proto-punk",Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),1976-04-23
24,You Could Be Mine,Guns N' Roses,"rock, glam metal, hard rock, classic rock",Use Your Illusion II,1991-09-18
25,Cum on Feel the Noize,Quiet Riot,"glam metal, hard rock, glam rock",Metal Health,1983-01-01
