#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
82,"Polish Girl","Neon Indian",0,112,"chillwave, indie electronic","Electronic, Pop, Rock","Era Extraña",2011-09-13,04:24,62,87,1,0,43,0,10,-4,A minor,4,2023-02-06,5g3TDpgy1J1woAUVuj21EE,"Mom+Pop",8A,USQE91100051
83,"Falso Realismo","Jambu",0,128,"nova mpb","Latin, Pop","Falso Realismo",2021-04-23,03:26,62,46,0,1,58,0,0,-12,G,4,2023-02-06,1VJSaqMGhCPGbYuj24UgHm,"Jambu",9B,FR59R2161426
84,"Ciudades de Noche","Rubytates",39,105,"mexican indie, latin indie, latin alternative","Latin, Rock","Ciudades de Noche",2018-02-09,03:32,73,56,11,2,63,0,10,-12,G,4,2023-02-06,01rgHbhlfioQ7Oy9ntemCa,"Rubytates",9B,QZ5AB1845219
85,"Señorita","LAWALL",0,108,"mexican indie, latin indie, latin alternative","Latin, Rock","La Playa de los 90, Vol 1",2015-04-29,05:30,67,60,0,28,63,0,30,-7,C,4,2023-02-06,1m9QpAHc54o635Yl7xtHoq,"Rock Juvenil",8B,MX3741500423
86,"Delirio","Los Makenzy, Superlitio, Pipe Bravo",38,78,"latin indie, latin rock, latin alternative, rock en español, colombian pop","Latin, Pop, Rock","Monstruos y Animales",2019-04-26,03:30,56,62,1,0,81,0,0,-5,A#/B♭ minor,4,2023-02-06,1zXlvviNTbLxqObjMhDeEx,"Los Makenzy",3A,QZ5AB1918722
87,"Viento de Noviembre","Dúo Niágara",0,168,"latin indie","Latin, Rock","Duo Niágara",2015-00-00,04:24,63,62,56,0,83,0,10,-12,B,4,2023-02-06,2ibaN8wPLM9AQx7NJ19My4,"CBA Discos",1B,ART0G1806783
88,"Call It Fate, Call It Karma","The Strokes",71,109,"garage rock, alternative rock, indie rock","Rock","Comedown Machine",2013-03-25,03:24,54,24,98,77,36,0,10,-15,E minor,4,2023-02-06,3Y4rUyw7XBCK6hGHCOt6rp,"RCA Records Label",9A,USRC11300085
89,"At The Door","The Strokes",60,117,"garage rock, alternative rock, indie rock","Rock","The New Abnormal",2020-04-10,05:10,46,32,86,1,36,0,10,-7,A#/B♭,4,2023-02-06,7lu6YLrlB1MU7HW8DJSuPa,"Cult Records/RCA Records",6B,USRC11902731
90,"Chances","The Strokes",58,104,"garage rock, alternative rock, indie rock","Rock","Comedown Machine",2013-03-25,03:36,56,57,37,61,53,0,10,-10,F#/G♭,4,2023-02-07,718purgMpFb2Axhuz0Hbq1,"RCA Records Label",2B,USRC11300083
91,"80's Comedown Machine","The Strokes",57,144,"garage rock, alternative rock, indie rock","Rock","Comedown Machine",2013-03-25,04:58,49,50,1,81,38,0,10,-9,C,4,2023-02-07,2lffRiAET2Xt6BNb4EmkS2,"RCA Records Label",8B,USRC11300079
92,"Call me","90sFlav",62,154,"lo-fi, lo-fi beats","Electronic, Hip Hop","Collection",2018-02-09,02:06,73,27,95,92,14,20,0,-12,G#/A♭ minor,4,2023-02-28,1tZQJiCrjMuWZkNdtClr2Z,"VinDig",1A,DEQ121855113
93,"Myth","Beach House",65,142,"dream pop","Pop, Rock","Bloom",2012-05-15,04:18,45,71,3,9,41,0,10,-6,D#/E♭,4,2023-06-29,2NfxtzCIrpCmJX5Z2KMdD5,"Sub Pop Records",5B,USSUB1296501
94,"The Perfect Girl - The Motion Retrowave Remix","Mareux, The Motion",62,118,"darkwave, cold wave, synthwave","Electronic, Rock","The Perfect Girl (The Motion Retrowave Remix)",2022-05-16,03:01,59,76,0,88,16,0,0,-8,F#/G♭ minor,4,2023-07-10,1UcyzhmBDfdw07DiuT7DEG,"Revolution Records",11A,USWB12201788
95,"屍を越えてゆけ","AAAMYYY",40,87,"japanese indie, j-r&b","Pop, R&B, Rock","BODY",2019-02-06,04:51,54,82,13,39,37,0,0,-5,F#/G♭,4,2025-06-01,3WMR3KMmaFKSTg14meRzPM,"SPACE SHOWER MUSIC",2B,JPJ901817610
