#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
23,"Lotus Eater","Foster The People",55,87,"","","Sacred Hearts Club",2017-07-21,03:02,60,73,0,0,87,10,50,-5,B minor,4,2022-12-02,6ReKt5x6FVUXTMdWNC6GAQ,"Columbia",10A,USSM11704912
24,"Connect The Dots","Wild Party",29,130,"","","Phantom Pop",2014-10-07,03:36,57,73,0,0,38,0,0,-5,D,4,2022-12-02,3b7qbD31EiL3v7tLAMxLhb,"Fearless Records",10B,US5261419805
25,"Campus Fashion","Tipling Rock",43,170,"","","Campus Fashion",2016-09-30,03:02,52,87,5,0,71,0,30,-6,A,4,2022-12-02,5IGgiEIe8lQYYTiljFo0vr,"Tipling Rock",11B,TCACS1613851
26,"All Over","CRUISR",0,158,"","","All Over",2014-00-00,03:02,55,93,1,0,67,0,0,-5,D,4,2022-12-02,7IDKIfRltN07TdsdTVtRHh,"Vagrant Records",10B,USVR91425001
27,"Chit Chat","Beach Weather",0,142,"","","Chit Chat",2016-10-14,03:20,51,98,0,17,97,0,30,-3,B minor,4,2022-12-02,08BwE47bKpz62bfSiDXO2w,"Beach Weather",10A,TCACS1642124
28,"Sex on Fire","Kings of Leon",84,153,"","","Only By The Night",2008-09-23,03:23,54,91,0,1,37,0,10,-6,A,4,2022-12-02,0ntQJM78wzOLVeCUAW7Y45,"RCA/Legacy",11B,USRC10800300
29,"Televised","HUNNY",56,108,"indie pop","Pop, Rock","Windows I",2017-05-26,03:14,59,75,0,0,43,0,10,-8,G#/A♭,4,2022-12-02,35Ki1lvKPC2sFBD3GmKdRG,"Epitaph",4B,QM24S1701430
30,"Lula, I'm Not Mad","HUNNY",0,80,"indie pop","Pop, Rock","Lula, I'm Not Mad",2019-04-23,03:25,49,82,3,0,63,0,30,-4,A,4,2022-12-02,6ivd4MgbnIAyxPZwee8Sqe,"Epitaph",11B,USEP41922001
31,"Superposition","Young the Giant",68,170,"","","Mirror Master",2018-10-12,03:50,59,70,0,3,43,0,10,-5,G,4,2022-12-02,67YPjbcxUypwNOwYBZquq1,"Elektra (NEK)",9B,USAT21810536
32,"Violet","Hippo Campus",0,167,"","","South",2015-10-02,04:05,25,85,1,0,44,0,0,-3,E,4,2022-12-02,6NbLlTH71bOgfTtFVY9HRm,"Grand Jury Music",12B,QM5BK1500004
33,"Running","Luna Luna, Pretty Boy Aaron",0,127,"latin indie","Latin, Rock","Carousel",2019-10-04,03:20,79,64,55,0,67,0,10,-7,A,4,2022-12-02,1Cb8H7XMkzxRF7YTjp5SyV,"Luna Luna",11B,QZES61977802
34,"I Don't Need You","Acid Ghost",45,156,"dream pop","Pop, Rock","I Don't Need You",2015-04-06,03:06,47,82,2,82,26,0,30,-5,G,4,2022-12-02,7IWdKDoQ3QNaF790h3skyc,"Acid Ghost inc",9B,TCADI1733219
35,"Diane Young","Vampire Weekend",0,87,"indie, baroque pop","Classical, Pop, Rock","Modern Vampires of the City",2013-05-27,02:40,42,80,3,0,76,20,20,-5,B,4,2022-12-02,104pmtTQOlmW8Zt2BipGKH,"XL",1B,GBBKS1300008
36,"Make Me Your Queen","Declan McKenna",52,125,"","","What Do You Think About the Car?",2017-04-21,03:41,49,67,0,0,26,0,10,-6,D,4,2022-12-02,5QJuMhGWTUB4t9BqR7ndL3,"Columbia",10B,GBARL1601811
37,"Talk Too Much","COIN",64,104,"","","How Will You Know If You Never Try",2017-04-21,03:08,60,89,1,0,48,0,30,-5,E,4,2022-12-02,4djIFfof5TpbSGRZUpsTXq,"StarTime International/Columbia",12B,USSM11602662
38,"Money","The Drums",0,102,"indie","Pop, Rock","Portamento",2011-09-06,03:53,60,92,22,15,45,0,20,-7,E minor,4,2022-12-02,0vAb3U3NJhiuib2B7sJdeJ,"Frenchkiss Records",9A,GBUM71105426
39,"Agoraphobia","Deerhunter",43,120,"neo-psychedelic, dream pop, shoegaze, noise rock","Pop, Rock","Microcastle",2008-10-31,03:22,58,94,3,86,40,0,60,-7,E,4,2022-12-02,2SpHd4lGMrJMIQDf92V6VP,"kranky",12B,USNCB0812702
40,"The Start Of Something","Voxtrot",0,107,"","","Raised By Wolves EP",2005-01-01,04:31,63,73,18,0,71,0,10,-7,G#/A♭,4,2022-12-02,6K5GAopLZzzg0ZX8k5GWwh,"Cult Hero Records",4B,ushm80559016
41,"Raised By Wolves","Voxtrot",0,151,"","","Raised By Wolves EP",2005-01-01,04:40,41,86,8,0,69,0,20,-5,A,4,2022-12-02,60ooMa1yzfKIl1Nf4O1GI5,"Cult Hero Records",11B,ushm80559015
42,"Leave Me Alone","I DONT KNOW HOW BUT THEY FOUND ME",35,104,"","","Leave Me Alone",2020-08-05,03:35,54,89,0,0,57,0,30,-3,C,4,2022-12-02,0AdfjZjynCi5aVfKcaxGvW,"Fearless Records",8B,US5262023738
43,"Bär mig","Solen",24,140,"swedish pop","Pop","Solen",2012-00-00,03:18,46,58,1,0,14,0,10,-8,D,4,2022-12-02,57C4q4KxynIyibKCTbIHFl,"Playground Music",10B,SEYOK1223090
44,"This Charming Man - 2011 Remaster","The Smiths",79,104,"new wave, madchester, jangle pop","Pop, Rock","The Smiths",1984-02-20,02:42,61,85,1,0,75,0,0,-6,B,4,2022-12-02,1FvDJ9KGxcqwv1utyPL3JZ,"WM UK",1B,GBCRL1100240
45,"Shy Away","Twenty One Pilots",0,97,"","","Shy Away",2021-04-07,02:55,59,86,0,7,64,0,20,-5,A minor,4,2022-12-02,2z0IupRlVRlDN5r2IVqHyN,"Fueled By Ramen",8A,USAT22101330
46,"Kilby Girl","The Backseat Lovers",76,162,"","","When We Were Friends",2019-01-27,04:42,33,44,6,4,23,0,10,-10,C♯/D♭,4,2022-12-02,1170VohRSx6GwE6QDCHPPH,"The Backseat Lovers",3B,USCGH1936387
47,"Something Good Can Work","Two Door Cinema Club",0,120,"indie","Pop, Rock","Tourist History",2010-02-17,02:44,65,83,1,0,64,0,10,-5,C,4,2022-12-02,5yDX0yhtLyf0zEXEqXqyAa,"Glassnote Entertainment Group LLC",8B,FRU700900101
48,"These Days","Wallows",62,93,"indie","Pop, Rock","Spring EP",2018-04-06,03:22,66,67,4,3,87,0,0,-7,C,4,2022-12-02,4gZDCOFuLCxCRWNhSEcOtJ,"Atlantic Records",8B,USAT21800737
49,"Pretty Bones","Harmless",0,146,"","","I'm Sure",2012-08-14,03:17,56,96,1,91,77,0,30,-2,D,4,2022-12-02,74RvGRmPLVoRVBzFMUO62f,"Harmless",10B,TCACS1610797
