#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
134,"Tenochtitlan","Calaverx",29,128,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,04:24,62,85,0,62,78,0,10,-7,D#/E♭,4,2025-07-29,0GnM7DPXMdpwVauHir2hbS,"Producciones Del Infierno",5B,SE5752221257
135,"Magia negra","Calaverx",24,142,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,03:58,70,83,5,0,96,0,10,-7,G minor,4,2025-07-29,6L00VhsLtL5hVNwXAwWDht,"Producciones Del Infierno",6A,SE6I32079037
136,"Una chica mas","Calaverx",30,160,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,03:24,56,98,0,76,98,0,30,-6,E,4,2025-07-29,2zKrA30sM1niatw09CvFUn,"Producciones Del Infierno",12B,SE6I32079027
137,"Desaparece de mi","Calaverx",19,162,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,03:17,46,87,0,89,58,0,10,-6,B minor,4,2025-07-29,4uA644kU5qghspqhpv4MPN,"Producciones Del Infierno",10A,US7VG2358589
138,"El jardin del eden","Calaverx",24,150,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,02:50,65,67,0,93,70,0,10,-8,A minor,4,2025-07-29,7yo4i3iWW9GXIviIee9rWV,"Producciones Del Infierno",8A,GBSMU0013626
139,"Fracaso en el amor","Calaverx",19,163,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,03:31,57,84,0,69,72,0,10,-8,G,4,2025-07-29,1V25jtJ4ux2R5QlXjYs5yR,"Producciones Del Infierno",9B,QZHZ42288516
140,"Vamos","Calaverx",24,164,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,04:16,54,88,35,69,50,0,10,-6,C,4,2025-07-29,7psdZO35jc564iaiHg1WLA,"Producciones Del Infierno",8B,QZNJX2095666
141,"Descontrol","Calaverx",15,132,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,02:19,71,68,60,91,93,0,10,-10,A,4,2025-07-29,7DxBNiHHskDTQKIHDdAgSC,"Producciones Del Infierno",11B,QZHZ32214861
142,"Miente","Calaverx",15,120,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,05:37,68,52,2,12,65,0,0,-14,C,4,2025-07-29,6Sr185d3fUeZgyhiWXpJdy,"Producciones Del Infierno",8B,QZNJX2096085
143,"Cocaina - Extended Version","Calaverx",12,125,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Calaverx",2023-03-31,04:46,58,74,10,92,53,0,10,-9,C♯/D♭,5,2025-07-29,3xKW4MRdWy1TIBFatPpFeq,"Producciones Del Infierno",3B,QZNJX2347035
144,"Desire","DANCING STRANGERS, Lorelle Meets The Obsolete",0,115,"deathrock, gothic rock, darkwave, cold wave, post-punk, neo-psychedelic, space rock, psychedelic rock, shoegaze, krautrock","Electronic, Rock","Desire",2023-01-11,04:21,63,72,1,31,36,0,0,-7,F#/G♭,4,2025-07-29,6agh7w9SOH1IEglGe2WafB,"BIZARIO TRAX",2B,QZTBA2251960
145,"Espejo","Calaverx",11,173,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Espejo",2025-04-18,04:36,63,94,0,6,62,0,10,-4,A,4,2025-07-29,5oTBpast7C9YSpjz07Jve7,"Producciones Del Infierno",11B,GX3Q92576845
146,"Acércate","Calaverx",24,81,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Acércate",2025-07-18,04:01,52,88,0,14,62,0,0,-6,B minor,4,2025-07-29,65PW9nKbcvz0uN5zXZDBxT,"Producciones Del Infierno",10A,GXH2J2525438
147,"El Paso del Tiempo","Silueta Pálida",15,140,"post-punk, mexican rock, cold wave","Electronic, Rock, Latin","Silueta Pálida",1984-00-00,04:26,41,57,3,77,65,10,10,-9,C,4,2025-07-29,3YozYvj2AavgJpCi86vddK,"Fonarte Latino S.A. de C.V.",8B,MXF602100135
148,"Fabrica de Estrellas","Ninot",5,149,"mexican rock, rock en español, post-punk","Latin, Rock","Mil Marionetas",1999-00-00,03:19,42,77,15,0,63,0,50,-9,E minor,4,2025-07-29,4hbhohGns3D36CVMLvxzUK,"Opcion Sonica USA",9A,QM4TW1540668
149,"Asi Como Tu","Ninot",11,159,"mexican rock, rock en español, post-punk","Latin, Rock","Mil Marionetas",1999-00-00,03:22,46,70,0,0,77,0,10,-9,C,4,2025-07-29,33tD6p5gdsCk9th1MzOGyh,"Opcion Sonica USA",8B,QM4TW1540662
150,"Hombre de Paja","Ninot",4,157,"mexican rock, rock en español, post-punk","Latin, Rock","Mil Marionetas",1999-00-00,03:33,34,67,1,0,50,0,10,-9,F,4,2025-07-29,5sBjKiUx23NSUL7JJ12Lj7,"Opcion Sonica USA",7B,QM4TW1540660
151,"Pueblo Fantasma","Las Ánimas del Cuarto Obscuro",24,138,"post-punk, darkwave, deathrock, gothic rock, cold wave","Electronic, Rock","Las Ánimas del Cuarto Obscuro",2021-10-08,03:59,59,76,0,73,89,0,0,-9,B minor,4,2025-07-29,7LIZoVySQ6is9zv4wDD91R,"Fonarte Latino S.A. de C.V.",10A,MXF602100666
152,"Azul Pastel","Las Ánimas del Cuarto Obscuro",17,159,"post-punk, darkwave, deathrock, gothic rock, cold wave","Electronic, Rock","Las Ánimas del Cuarto Obscuro",2021-10-08,04:13,63,60,0,87,89,0,10,-11,D,4,2025-07-29,64czOSzOYeTRmbMmctiGwM,"Fonarte Latino S.A. de C.V.",10B,MXF602100671
153,"Virginia","Las eras",49,128,"darkwave, cold wave, post-punk","Electronic, Rock","Virginia",2024-02-14,03:05,68,53,12,88,60,0,10,-9,F#/G♭ minor,4,2025-07-29,4uYpFy11OHpZHVvrHLP9BN,"3385030 Records DK",11A,QZDA82486968
154,"Constitución","Las eras",59,125,"darkwave, cold wave, post-punk","Electronic, Rock","Austral",2019-10-18,03:40,74,43,21,86,38,0,10,-15,B,4,2025-07-29,1x9v644kahHJonf8Nt2s6h,"3385030 Records DK",1B,QZFZ42233556
155,"Nadie lo conoce","Las eras",37,76,"darkwave, cold wave, post-punk","Electronic, Rock","Austral",2019-10-18,03:47,56,52,0,69,66,0,10,-14,G,4,2025-07-29,1TaS4rhy0vdoew7UYUIgIx,"3385030 Records DK",9B,QZFZ42233557
156,"Crepúsculo Ascendente","Hueco",7,135,"gothic rock, mexican rock, post-punk, deathrock","Rock, Latin","Medusa (O de los Amores Terribles)",2014-01-17,04:23,60,68,3,1,48,0,10,-9,A minor,4,2025-07-29,33fjioZCvrY4urc0eRfUOZ,"Intolerancia Música, S. de R.L. de C.V.",8A,MX3451000129
157,"Nos Vamos Juntos","Hueco",4,110,"gothic rock, mexican rock, post-punk, deathrock","Rock, Latin","La Negra Voz de Dios",2017-08-11,05:44,44,50,1,39,5,0,10,-9,B minor,4,2025-07-29,5nfOdUxwDzXQgLdYRRMJmm,"Intolerancia Música, S. de R.L. de C.V.",10A,MX3451700130
158,"Oxidando","Candy",26,132,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,03:36,54,88,0,0,58,0,10,-4,F,4,2025-07-29,5exJgiUn5EZn9lIjwm2FN2,"Candy",7B,MX2891100008
159,"Painkiller","Candy",5,167,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,02:32,60,81,0,0,54,0,10,-4,A,4,2025-07-29,2LBPFc0nrWQ9vl1vq8A8gM,"Candy",11B,MX2891400013
160,"Mumbai Fever","Candy",4,165,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,03:11,52,75,0,0,69,0,10,-4,C♯/D♭,4,2025-07-29,3yUNlaZZRMoK8uQ7mdnuLU,"Candy",3B,MX2891400014
161,"Butterfly","Candy",3,155,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,03:32,62,66,0,1,34,0,0,-5,A,4,2025-07-29,4qeQ1V7VoOMD2XzAG5omWR,"Candy",11B,MX2891400015
162,"Art Attack","Candy",2,170,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,03:17,59,60,0,2,80,0,10,-5,D,4,2025-07-29,1ERz25YB8PvXtrIwOt7Z0Q,"Candy",10B,MX2891400016
163,"Secrets","Candy",2,150,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,02:49,54,78,0,36,63,0,0,-4,C minor,4,2025-07-29,0OfQdVQvpuG03aYSd0VJvK,"Candy",5A,MX2891400017
164,"Sometimes (I'm Not)","Candy",2,162,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,02:44,58,74,0,71,57,0,10,-5,D,4,2025-07-29,669lGGDjmmRgJlsMV3XiqI,"Candy",10B,MX2891400018
165,"Party With A Stranger","Candy",2,165,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,02:59,50,90,0,6,78,0,20,-5,G,4,2025-07-29,2NMWFjm5AzA9D6uT4zTVF6,"Candy",9B,MX2891400019
166,"Paranoia","Candy",2,152,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,03:03,65,75,1,2,90,0,20,-5,F#/G♭ minor,4,2025-07-29,122rBSb8B01ODtk61L9tJl,"Candy",11A,MX2891400020
167,"Silence","Candy",3,100,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,03:38,55,76,0,78,37,0,10,-4,E minor,4,2025-07-29,7t2KzHKrN9If1gviL6wRIp,"Candy",9A,MX2891400021
168,"Questions","Candy",7,110,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Stranger",2009-05-26,03:31,74,47,0,26,44,0,10,-6,B minor,4,2025-07-29,6kkgXYaz0lrYeRo5MRZI0y,"Candy",10A,MX2891400022
169,"El Entierro","Candy",12,160,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,03:41,40,91,0,3,60,0,10,-3,A,4,2025-07-29,0nH0qim8jfWzr88rSFbnGE,"Candy",11B,MX2891100002
170,"Lapsus","Candy",6,180,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,02:46,46,83,0,0,69,0,0,-4,A minor,4,2025-07-29,7EnKEgkQsXTARGT941TXcf,"Candy",8A,MX2891100003
171,"Sin Control","Candy",20,160,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,03:49,51,83,0,0,67,0,30,-4,A minor,4,2025-07-29,17bGPz9dMXH7Os78dhxNeo,"Candy",8A,MX2891100004
172,"Te Vas","Candy",18,166,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,03:27,59,56,7,0,48,0,10,-5,C♯/D♭,4,2025-07-29,38DeFRaPhEDidVMTRP9xnM,"Candy",3B,MX2891100007
173,"Nada","Candy",8,145,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,03:14,54,86,0,0,46,0,40,-4,C,4,2025-07-29,1VwngG5AYa9k8MxoQPuYU2,"Candy",8B,MX2891100005
174,"Adiós","Candy",5,145,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,03:10,77,83,3,0,85,0,10,-4,D minor,4,2025-07-29,2GX9Gco5fcapWqjimYiOAO,"Candy",7A,MX2891100009
175,"Despertar","Candy",15,150,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,03:04,56,90,0,0,84,0,30,-3,B minor,4,2025-07-29,3SISmyEVCPoqlR2SnjepXh,"Candy",10A,MX2891100011
176,"Ojos Heridos","Candy",5,100,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,02:45,50,88,0,0,60,0,20,-3,D minor,4,2025-07-29,74aefOldGaxGsfoYfvD5UW,"Candy",7A,MX2891100010
177,"Payaso","Candy",5,147,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,03:17,66,43,4,0,62,0,10,-9,E minor,3,2025-07-29,5urwC8aWV65LdEQWsrVEFi,"Candy",9A,MX2891100012
178,"Carrusel","Candy",4,97,"mexican indie, mexican rock, latin indie, rock en español, latin alternative","Latin, Rock","Control",2012-01-31,01:55,55,95,0,0,25,0,10,-3,F,4,2025-07-29,1d3OzaUei6MGCAk9ZKCFct,"Candy",7B,MX2891100006
179,"Fantasías","El Clan",11,153,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,05:01,58,80,7,0,62,10,0,-12,C♯/D♭ minor,4,2025-07-29,4fDToEc1DIAPjPurR00SAE,"El Clan",12A,MX3451600135
180,"El Reino de los Duendes","El Clan",12,169,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,04:02,37,76,14,1,57,0,0,-11,A,4,2025-07-29,4S75wXO4JUm2bdpmdhOg4D,"El Clan",11B,MX3451600136
181,"Cariño (Quisiera Llegarte a Odiar)","El Clan",14,159,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,04:46,42,82,5,0,58,0,0,-11,E minor,4,2025-07-29,3Ooz6DjtqKhOdBl0lUVWgb,"El Clan",9A,MX3451600137
182,"Las Brujas","El Clan",15,130,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,02:32,51,83,0,9,65,0,20,-10,C,4,2025-07-29,2pT12MicqJms8yJ26Y4eTX,"El Clan",8B,MX3451600138
183,"Más Allá del Tiempo","El Clan",12,113,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,03:59,47,68,1,3,34,0,10,-12,G minor,4,2025-07-29,4qjCmuBIA98kpOA1NOpS81,"El Clan",6A,MX3451600139
184,"La Tortura","El Clan",8,158,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,05:36,33,69,0,3,35,0,10,-11,D,4,2025-07-29,13QYoE9Zb4HHQ3awUaWqX9,"El Clan",10B,MX3451600140
185,"Gárgolas","El Clan",6,90,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,02:02,42,94,1,13,46,0,0,-8,G,4,2025-07-29,0O2o7AI8XdOTFypPuzg4Aq,"El Clan",9B,MX3451600141
186,"Recuerdos","El Clan",14,140,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,04:08,47,69,24,0,43,10,50,-10,C,4,2025-07-29,5HywoqngoZ24pQ4gQvvVGU,"El Clan",8B,MX3451600142
187,"Despiértame","El Clan",9,101,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,02:51,35,64,0,25,23,0,0,-14,F,4,2025-07-29,7qSJRmfiAA2NJyrbyzAoCo,"El Clan",7B,MX3451600143
188,"Azul de Medianoche","El Clan",14,129,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sin Sentir",1994-04-10,04:46,41,91,0,0,41,0,10,-12,E minor,4,2025-07-29,4mBzsSE70ZB78XkIGS1Y2N,"El Clan",9A,MX3451600145
