#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
36,"Knights of Cydonia","Muse",69,137,"alternative rock, rock","Rock","Black Holes and Revelations",2006-06-28,06:06,37,96,0,1,21,10,10,-5,B minor,4,2017-08-05,7ouMYWpwJ422jRcDASZB7P,"Warner Records",10A,GBAHT0500600
37,"Cult of Personality","Living Colour",0,92,"funk rock, hard rock","R&B, Rock","Playlist: The Very Best Of Living Colour",2009-04-09,04:54,51,87,0,0,56,0,70,-6,C,4,2017-08-05,5cTo534XBM6ZB04ibHOARl,"Epic/Legacy",8B,USSM18800018
38,"Raining Blood","Slayer",0,88,"thrash metal, metal, speed metal, heavy metal, groove metal, death metal","Metal","Reign In Blood",1986-00-00,04:15,29,100,0,37,4,10,0,-4,G#/A♭ minor,4,2017-08-05,0YjAFxSSrQVBgXgAXx0htq,"American",1A,USLIC0700847
39,"Cliffs Of Dover - Instrumental","Eric Johnson",58,95,"","","Ah Via Musicom",1990-00-00,04:09,45,78,16,15,31,0,20,-12,G,4,2017-08-05,5qm0KiVKMXW1kq6VrnIhz5,"Capitol Records",9B,USCA28900086
40,"The Number Of The Beast - 1998 Remastered Version","Iron Maiden",2,100,"heavy metal, metal, hard rock, rock","Rock, Metal","The Number Of The Beast (1998 Remastered Edition)",1982-00-00,04:51,42,93,2,1,34,0,20,-6,D minor,4,2017-08-05,1s4Ie0cT6P73SRSfh3oyGW,"Parlophone UK",7A,GBAYE9801381
41,"The Devil Went Down To Georgia","The Charlie Daniels Band",0,135,"southern rock, outlaw country, classic country, country rock, country","Country, Rock","Outlaws Super Hits",1996-03-19,03:34,55,56,21,0,95,0,0,-10,C,4,2017-08-05,6KjJGpDZ4wdshirWmqBcT3,"Columbia",8B,USSM17800035
42,"Minus Celsius","Backyard Babies",40,156,"punk","Rock","Stockholm Syndrome",2003-03-01,03:34,32,90,0,31,43,0,10,-3,C♯/D♭,4,2017-08-05,5CTc5YCNKT5FGe9dWvJZFd,"RCA Records Label",3B,SEBMC0378010
43,"Go That Far","Bret Michaels",32,131,"glam metal","Metal, Rock","Go That Far",2007-02-27,02:52,58,49,0,0,80,0,30,-16,B,4,2017-08-05,10c2YrVJUDxCI02XpnJcEY,"BMB / Poor Boy Records Inc.",1B,USA560624789
44,"Nothing For Me Here","Dope",0,173,"industrial metal, nu metal, industrial rock, metal","Metal, Rock","No Regrets",2009-03-10,03:02,37,93,0,0,41,10,0,-5,C♯/D♭,4,2017-08-05,26095IcivgfeCsNSDswY71,"Koch Records",3B,USKO10900167
45,"Through the Fire and Flames - Live","DragonForce",0,200,"power metal, speed metal, metal, symphonic metal","Metal","Twilight Dementia",2010-01-01,08:23,20,99,2,0,23,40,90,-4,B minor,4,2017-08-05,2LB1NMxd663SrbcMaTuaPR,"Spin-Farm Oy",10A,FIUM71000610
46,"In the Belly of a Shark","Gallows",37,104,"hardcore punk, hardcore, punk","Electronic, Rock","Orchestra Of Wolves (new version)",2007-06-18,02:41,28,100,0,51,15,10,30,-2,G,4,2017-08-05,0khj70h8pejNRukEhOn86O,"WM UK",9B,GBAHT0700214
47,"I'm In The Band","The Hellacopters",20,166,"garage rock, punk","Rock","I'm In The Band",2005-01-01,03:19,28,97,1,0,66,0,0,-3,G#/A♭,4,2017-08-05,1Iak3HBNq9OMbkDCnc4bb6,"Universal Music AB",4B,SEBFO0500152
48,"Avalancha","Heroes Del Silencio",52,149,"rock en español, latin rock, mexican rock, latin alternative","Latin, Rock","Avalancha",1995-11-07,05:58,42,84,0,0,45,0,20,-5,A,4,2017-08-05,2QWiLP3WiFMtmJ08nUTWUC,"Parlophone Spain",11B,ES5089603089
49,"Ruby","Kaiser Chiefs",0,187,"britpop","Pop, Rock","Yours Truly, Angry Mob",2007-01-01,03:24,31,94,1,0,42,0,0,-3,F minor,4,2017-08-05,2rjOaGr1mcTYePllS8crRf,"Universal Music Ltd.",4A,GBDVX0600080
50,"My Curse","Killswitch Engage",70,177,"metalcore, metal","Metal","As Daylight Dies (Special Edition)",2007-02-06,04:04,20,96,0,1,21,0,20,-3,A#/B♭ minor,3,2017-08-05,6zKF4293k44ItKWJJgrhXv,"Roadrunner Records",3A,NLA320682675
51,"Mauvais garçon","Naast",33,209,"","","Antichambre",2007-01-12,02:43,26,94,3,0,69,10,30,-5,A,4,2017-08-05,2PVaUOrcUYdZC74ERWHL57,"Parlophone (France)",11B,FRZ110600741
52,"Generation Rock","Revolverheld",34,158,"german pop","Pop","Revolverheld",2005-09-23,02:44,51,96,1,0,37,10,10,-3,G#/A♭ minor,4,2017-08-05,7qvtWTZtcHBX182MIUycYQ,"Modul",1A,DEA810500837
53,"Prayer Of The Refugee","Rise Against",0,196,"punk, hardcore punk","Rock","The Sufferer & The Witness [International Version (Explicit)]",2006-06-30,03:15,31,97,0,0,46,10,50,-3,D#/E♭ minor,4,2017-08-05,58J1l73w3TcdpGqN0n1TiZ,"Universal Music Ltd.",2A,USUM70603971
54,"Can't Be Saved","Senses Fail",0,170,"post-hardcore, screamo, emo, pop punk","Rock, Pop, Metal","Can't Be Saved",2007-02-25,03:07,33,96,0,0,49,10,20,-3,D,4,2017-08-05,2EvalalR3ea41HYRywdNKc,"Vagrant/Hassle",10B,USVR90643904
55,"Don't Hold Back","The Sleeping",0,166,"post-hardcore","Rock","Questions And Answers",2006-00-00,04:32,38,90,0,0,62,10,0,-5,G#/A♭ minor,4,2017-08-05,5Jfs5GibNemT1xjaPmGyE0,"Victory",1A,USVIC0628201
56,"She Bangs the Drums","The Stone Roses",30,145,"madchester, britpop","Pop, Rock","She Bangs The Drum",1989-10,03:51,34,98,1,1,66,0,10,-5,A,4,2017-08-05,2G41EvaLy97DcklKht56D7,"Sony Music UK",11B,GBARL0900613
57,"Radio Song","Superbus",0,158,"variété française, french pop","Pop","Pop'n'Gum",2005-01-01,02:25,57,97,1,0,73,10,20,-2,D minor,4,2017-08-05,4J98iztMrDccD9JNKP2DXG,"Universal Music",7A,FRZ030410900
58,"Putting Holes In Happiness","Marilyn Manson",39,142,"industrial metal, industrial rock, industrial, metal, nu metal","Rock, Metal","EAT ME, DRINK ME (International Version)",2007-01-01,04:31,32,72,0,1,41,0,30,-5,D,4,2017-08-05,3bczGIdbDAzNpQyi4N1RUX,"Marilyn Manson / Interscope",10B,USUM70734879
