#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Sea, Swallow Me","Cocteau Twins, Harold Budd",65,164,"dream pop, shoegaze, gothic rock, ambient, minimalism, drone","Electronic, New Age, Pop, Rock, Classical","The Moon and the Melodies",1986-11-10,03:09,45,67,59,24,83,0,20,-13,C,3,2023-04-09,7vPHiwgCOAjSBRjAirbMvS,"4AD",8B,GBAFL8600048
2,"Cuervos","Porter",44,180,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock","Latin, Rock","Atemahawke",2007-05-05,05:09,47,70,2,0,20,0,30,-6,F#/G♭,4,2023-04-09,0brd5yd2IYQWrl1o1fniAl,"Porter",2B,uscgj1549263
3,"Host of a Ghost","Porter",57,142,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock","Latin, Rock","Atemahawke",2007-05-05,04:20,59,74,42,2,38,0,10,-7,C♯/D♭,4,2023-04-13,0HTFDQQb7auJ2dZwXtPK5e,"Porter",3B,uscgj1549258
