#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
11,"Abominable Snowman","Summer Salt",0,91,"","","Abominable Snowman",2017-12-24,03:33,63,35,82,9,29,0,0,-11,E minor,4,2018-06-27,0JBRk4qjG1BMKnpeCIvKc0,"Cherry Lime Records",9A,QZAPG1765069
12,"Hunk Beach","The Walters",0,130,"","","Hunk Beach / I Wanna Be Good",2015-00-00,03:01,57,57,0,0,43,0,10,-8,E,4,2018-06-27,2QKo4KNLmXcgTC5YVpeV6F,"Canvasback/ATL",12B,USAT21501848
13,"Check Please","Trash Panda",23,83,"","","Off (EP)",2016-09-05,04:16,45,41,68,2,28,0,0,-10,B minor,4,2018-06-27,6NSYrv5GuXzlpLkOqlBe9N,"Independent",10A,GBLFP1622937
14,"back again","flor",41,85,"","","come out. you're hiding (deluxe)",2018-02-02,03:21,64,60,12,0,64,0,10,-7,G#/A♭ minor,4,2018-06-23,1J5rHMEvQFpM07iLULi48A,"Fueled By Ramen",1A,USAT21705462
15,"Vivienne","Sundara Karma",31,111,"indie","Pop, Rock","Youth is Only Ever Fun in Retrospect",2017-07-07,03:49,58,83,0,0,60,0,10,-5,C,4,2018-06-23,5JQ8uujkHJccCdHMIMjJEr,"RCA Records Label",8B,GBARL1501383
16,"Lotus Eater","Foster The People",55,87,"","","Sacred Hearts Club",2017-07-21,03:02,60,73,0,0,87,10,50,-5,B minor,4,2018-06-23,6ReKt5x6FVUXTMdWNC6GAQ,"Columbia",10A,USSM11704912
17,"Greek Tragedy","The Wombats",57,93,"indie","Pop, Rock","Glitterbug (Deluxe Edition)",2015-04-14,03:29,52,87,0,0,45,0,20,-5,B,4,2018-06-23,28C4nmrd7BTu0XbOmaTHZr,"Bright Antenna",1B,GBAHT1400467
18,"Cardiac Arrest","Bad Suns",0,94,"","","Language & Perspective",2014-07-01,03:02,62,88,5,0,75,0,0,-4,C♯/D♭,4,2018-06-23,6zQyu8L8yUuJkl6LbQ6iKU,"Vagrant Records",3B,USVR91316301
19,"Mr. Know-It-All","Young the Giant",41,151,"","","Home of the Strange",2016-08-12,03:11,63,87,2,0,73,0,10,-4,D,4,2018-06-01,4gbKtqZDkNl6MrScQhfCt9,"Fueled By Ramen",10B,USAT21601334
20,"Houdini","Foster The People",68,110,"","","Torches",2011-05-23,03:22,63,91,1,0,76,0,10,-4,G#/A♭,4,2017-11-13,5Fli1xRi01bvCjsZvKWro0,"Columbia",4B,USSM11005694
21,"Maybe We're Meant To Be Alone","Bad Suns",0,124,"","","Disappear Here",2016-09-16,03:25,69,62,17,0,40,0,0,-8,D#/E♭,4,2018-06-01,6wjb6rlWb4P8NRcZpP17UJ,"Vagrant Records",5B,QMRSZ1600421
22,"Wolves (You Got Me)","DREAMERS",38,144,"","","This Album Does Not Exist",2016-08-26,03:42,49,98,2,0,47,0,30,-3,B minor,4,2018-05-15,2NrCdk8AjZdTC50O5Efa6C,"Fairfax Recordings",10A,TCACB1404526
23,"Whistle For The Choir","The Fratellis",51,132,"","","Costello Music",2007-01-01,03:35,60,69,5,0,73,0,0,-5,E,4,2018-05-15,3jp7Ryj1sX3riA7NQaVlLd,"Interscope",12B,GBUM70601572
24,"What You Know","Two Door Cinema Club",0,139,"indie","Pop, Rock","Tourist History",2010-02-07,03:11,56,76,0,0,81,0,0,-4,F#/G♭ minor,4,2018-05-15,6jrMVRReY24qzCfe1BRrww,"Glassnote",11A,FRU700900116
