#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"NAN CHUN","SE SO NEON",55,141,"k-rock, japanese indie","Pop, Rock","NAN CHUN",2020-05-10,03:49,49,53,5,0,44,0,40,-3,C♯/D♭,3,2025-05-11,4TBHfv2isYco3fNKjQ8oSI,"MAGIC STRAWBERRY SOUND",3B,KRF252000039
2,"Beautiful World","Parannoul",45,160,"shoegaze, dream pop, noise rock, slowcore, math rock","Pop, Rock","To See the Next Part of the Dream",2021-04-19,05:20,12,86,0,72,24,0,20,-6,G#/A♭ minor,4,2025-05-11,6dNk7wme2WgW7Sd6lYcCbL,"Parannoul",1A,KRMIM2116841
3,"Winter","SE SO NEON",50,147,"k-rock, japanese indie","Pop, Rock","Nonadaptation",2020-02-18,03:52,47,49,64,6,27,0,30,-5,F#/G♭ minor,3,2025-05-11,3tqUaq6JjHcN34WZb70FyY,"MAGIC STRAWBERRY SOUND",11A,KRF252000003
4,"night is young","yuragi",41,124,"shoegaze, japanese indie, math rock, dream pop, j-rock","Pop, Rock","nightlife",2016-12-27,05:44,23,76,3,6,27,0,10,-4,F minor,4,2025-05-12,3mALM7a4cLufetyxSUPbl5,"yuragi",4A,TCJPF1729664
5,"MUNG","OurR",32,120,"k-rock, japanese indie","Pop, Rock","can't",2021-05-12,04:59,56,57,0,37,79,0,0,-6,A,4,2025-05-12,746IIP4nhFrFcKXNkqtj2m,"Happy Robot Records",11B,KRE892100037
