#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Intimate Friends","Eddie Kendricks",47,150,"motown, classic soul, philly soul, soul","R&B, Pop, Blues","Slick",1977-08-01,05:53,52,52,44,0,66,0,0,-10,A,4,2022-05-05,35YSCRS2BshfXYdNAQxrs8,"UNI/MOTOWN",11B,USMO17784732
2,"You Can't Turn Me Away","Sylvia Striplin",40,179,"post-disco","Pop, R&B","Late Night Tales: Another Late Night - Zero 7",2012-03-23,05:28,61,49,53,7,87,10,0,-12,G,4,2022-05-05,7H6lTSdK33pBFUwNbXCxX3,"Late Night Tales",9B,GBBCK7700198
3,"Between the Sheets","The Isley Brothers",61,84,"motown, quiet storm, soul, classic soul, funk, northern soul","R&B, Pop, Blues","Between the Sheets",1983-08-21,05:40,72,38,66,0,57,10,0,-13,A minor,4,2022-05-05,3ApIYu95WxjzpQCnsLBbrv,"Epic/Legacy",8A,USSM19915051
4,"Juicy Fruit","Mtume",49,193,"post-disco, funk, quiet storm","R&B, Pop","Juicy Fruit",1983-00-00,05:52,75,57,14,1,72,30,0,-6,E,4,2022-05-05,223kK8LVBwzkk3Ck7Ua0Sk,"Epic",12B,USSM18300593
5,"The Payback","James Brown",58,98,"funk, soul, motown, classic soul","R&B, Pop, Blues","The Payback",1973-12-01,07:39,87,64,16,0,79,10,90,-11,F#/G♭,4,2025-03-03,5OcyX5eg7VrJuI833qOCUc,"Polydor",2B,USF067400050
6,"War of the Hearts","Sade",54,181,"","","Promise",1985-11-04,06:47,51,46,46,44,58,0,10,-9,D,4,2025-03-03,1s7cklguCg0rkLeBGA7quh,"Sony Music UK",10B,GBBBM0002019
7,"For the Love of You, Pts. 1 & 2","The Isley Brothers",60,103,"motown, quiet storm, soul, classic soul, funk, northern soul","R&B, Pop, Blues","The Heat Is On",1975-08-21,05:39,69,37,67,0,69,0,10,-11,B minor,4,2025-03-03,7teF2kwC3GL00mQfwtxzo9,"Epic/Legacy",10A,USSM17500025
8,"I DO","Leon Thomas",48,77,"","","MUTT",2024-09-27,02:41,49,62,87,0,63,0,30,-6,D,4,2025-03-03,6HlFEOl95vMLEaNe5FDmpM,"EZMNY Records/Motown Records",10B,USUM72409211
9,"My Cherie Amour","Stevie Wonder",45,101,"motown, classic soul, soul","R&B, Pop, Blues","The Definitive Collection (Deluxe Edition)",2002-10-29,02:52,55,61,12,0,42,0,10,-7,F#/G♭,4,2025-03-03,4TBehalQbTZEXt9MYPhkop,"UNI/MOTOWN",2B,USMO18500078
