#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
26,"The Middle","Jimmy Eat World",81,162,"emo, pop punk","Rock, Pop","Bleed American",2001-07-17,02:45,64,85,4,0,90,0,0,-5,D,4,2023-12-01,6GG73Jik4jUlQCkKg9JuGO,"Interscope",10B,USDW10110256
27,"Miss Murder","AFI",70,144,"punk, horror punk, emo, skate punk","Rock, Metal","DECEMBERUNDERGROUND",2006-06-06,03:26,31,87,0,0,69,0,10,-5,G#/A♭,4,2023-12-01,0Ti2dlF2xLjXblvdU5fCxM,"Interscope",4B,USUM70602578
28,"0 SENTIMENTO","Asjatica",3,80,"","","0 SENTIMENTO",2022-11-25,02:29,35,66,0,1,29,0,10,-7,B,4,2023-12-01,5WCw5MPG167COqxJu6c42Y,"Reload Music",1B,QMDA72220284
29,"Today I Saw The Whole World","Pierce The Veil",65,138,"emo, screamo, post-hardcore","Rock, Metal","Misadventures",2016-05-13,03:41,51,99,0,0,58,0,30,-2,D#/E♭ minor,4,2023-12-01,48vr34351V9Sz1QVxmbYNf,"Fearless Records",2A,US5261621507
30,"Gold Medal Ribbon","Pierce The Veil",62,101,"emo, screamo, post-hardcore","Rock, Metal","Misadventures",2016-05-13,03:58,53,93,0,0,42,0,0,-3,C♯/D♭,4,2023-12-01,0yq3IiS6IbPFmqLN46WxiG,"Fearless Records",3B,US5261621508
31,"Given Up","Linkin Park",80,100,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Minutes to Midnight",2007-05-14,03:09,66,89,0,0,94,0,0,-4,G,4,2023-12-01,1fLlRApgzxWweF1JTf8yM5,"Warner Records",9B,USWB10701211
32,"Drown","Bring Me The Horizon",74,143,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","That's The Spirit",2015-09-11,03:42,41,94,0,0,24,0,70,-3,C♯/D♭ minor,4,2023-12-01,6o39Ln9118FKTMbM4BvcEy,"RCA Records Label",12A,GBARL1500797
33,"Follow You","Bring Me The Horizon",72,90,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","That's The Spirit",2015-09-11,03:51,54,66,8,0,51,0,10,-6,D#/E♭ minor,4,2023-12-01,6lFUdRItQEsEuD7dSINL47,"RCA Records Label",2A,GBARL1500772
34,"True Friends","Bring Me The Horizon",66,160,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","That's The Spirit",2015-09-11,03:52,42,94,0,0,33,0,10,-3,G,4,2023-12-01,1KTJmfwrk5pYqsi9mkY3nT,"RCA Records Label",9B,GBARL1500771
35,"i apologise if you feel something","Bring Me The Horizon",48,180,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","amo",2019-01-25,02:19,21,36,53,3,5,0,0,-10,A minor,1,2023-12-01,4mrjzz6ETpW3wosJUYmKoL,"RCA Records Label",8A,GBARL1801493
