#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Killing In The Name","Rage Against The Machine",80,89,"rap metal, rap rock, alternative metal, nu metal","Metal, Rock, Hip Hop","Rage Against The Machine - XX (20th Anniversary Special Edition)",1992-00-00,05:13,47,83,3,0,66,30,0,-4,G,4,2023-02-07,59WN2psjkt1tyaxjspN8fp,"Epic/Legacy",9B,USSM11205433
2,"Bulls On Parade","Rage Against The Machine",74,166,"rap metal, rap rock, alternative metal, nu metal","Metal, Rock, Hip Hop","Evil Empire",1996-04-16,03:49,41,92,1,6,57,10,40,-7,F,4,2023-02-07,0tZ3mElWcr74OOhKEiNz1x,"Epic",7B,USSM19502563
3,"Bombtrack","Rage Against The Machine",50,152,"rap metal, rap rock, alternative metal, nu metal","Metal, Rock, Hip Hop","Rage Against The Machine",1992-11-03,04:04,48,86,1,0,67,10,10,-7,E minor,4,2023-02-13,6ZU9RJIZ0fNaFuQM57bDIA,"Epic",9A,USSM19200660
4,"People of the Sun","Rage Against The Machine",62,93,"rap metal, rap rock, alternative metal, nu metal","Metal, Rock, Hip Hop","Evil Empire",1996-04-16,02:30,53,87,0,2,71,30,20,-6,G,4,2023-02-23,3QjQp2bfAvLTCSi8Zhzqis,"Epic",9B,USSM19502587
5,"Wind Below","Rage Against The Machine",43,139,"rap metal, rap rock, alternative metal, nu metal","Metal, Rock, Hip Hop","Evil Empire",1996-04-16,05:50,39,74,0,20,44,0,40,-10,A,4,2023-02-23,0g192CYDNtw2jp4h9FtYAy,"Epic",11B,USSM19502593
